Open Time,Open,High,Low,Close,Volume,Close Time
2020-12-21,0.20000000,3.08850000,0.20000000,1.06120000,260814591.13000000,2020-12-21
2020-12-28,1.06000000,1.40330000,0.75410000,1.10800000,247096466.01000000,2020-12-28
2021-01-04,1.10800000,1.61500000,0.96660000,1.20580000,153906104.10000000,2021-01-04
2021-01-11,1.20320000,2.19000000,0.96230000,2.03620000,156230442.66000000,2021-01-11
2021-01-18,2.02830000,2.49000000,1.41130000,2.47430000,128687207.20000000,2021-01-18
2021-01-25,2.47070000,5.55000000,2.18000000,4.93090000,224793683.25000000,2021-01-25
2021-02-01,4.93070000,6.33000000,4.27150000,4.95120000,148686675.07000000,2021-02-01
2021-02-08,4.95130000,6.29000000,4.40000000,5.25000000,137108505.66000000,2021-02-08
2021-02-15,5.25000000,5.89760000,4.20500000,5.05750000,130621595.32000000,2021-02-15
2021-02-22,5.05750000,5.16760000,3.00000000,3.84070000,178562397.05000000,2021-02-22
2021-03-01,3.84080000,4.35560000,3.52000000,3.98270000,78991904.33000000,2021-03-01
2021-03-08,3.98800000,4.55500000,3.63020000,3.83220000,91004367.55000000,2021-03-08
2021-03-15,3.83580000,5.24450000,3.72000000,4.67250000,97097387.71000000,2021-03-15
2021-03-22,4.67010000,4.84810000,3.56700000,4.08820000,55371545.27000000,2021-03-22
2021-03-29,4.08760000,4.79990000,4.02450000,4.57000000,54280976.99000000,2021-03-29
2021-04-05,4.57000000,6.67000000,4.42190000,5.67060000,157281417.98000000,2021-04-05
2021-04-12,5.67330000,6.65000000,4.50000000,5.29430000,83552757.57000000,2021-04-12
2021-04-19,5.29280000,5.45980000,3.75360000,3.99610000,67737668.31000000,2021-04-19
2021-04-26,3.99690000,5.91000000,3.94110000,5.36140000,72048315.92000000,2021-04-26
2021-05-03,5.36120000,7.87480000,5.18550000,7.08010000,127090472.13000000,2021-05-03
2021-05-10,7.08060000,7.18790000,4.65000000,5.12630000,88224247.82000000,2021-05-10
2021-05-17,5.12610000,5.42280000,1.77770000,2.33550000,132727757.68000000,2021-05-17
2021-05-24,2.33440000,3.50000000,2.29000000,2.88610000,79247197.90000000,2021-05-24
2021-05-31,2.88350000,4.11760000,2.74580000,3.90980000,82992547.55000000,2021-05-31
2021-06-07,3.90980000,3.91530000,2.51720000,3.00670000,66314154.24000000,2021-06-07
2021-06-14,3.00210000,3.94990000,2.80650000,3.39800000,80094297.85000000,2021-06-14
2021-06-21,3.39720000,3.49000000,2.07000000,2.50610000,77833256.66000000,2021-06-21
2021-06-28,2.50580000,2.70390000,2.26250000,2.53100000,46721928.41000000,2021-06-28
2021-07-05,2.53360000,2.96900000,2.34610000,2.51770000,41017351.61000000,2021-07-05
2021-07-12,2.51960000,2.59000000,1.95000000,2.02970000,34055161.35000000,2021-07-12
2021-07-19,2.02970000,2.15000000,1.61800000,2.04470000,62428080.81000000,2021-07-19
2021-07-26,2.04420000,2.48540000,2.01880000,2.31700000,66792526.57000000,2021-07-26
2021-08-02,2.31710000,2.71970000,2.18190000,2.49070000,61192212.70000000,2021-08-02
2021-08-09,2.49130000,3.10830000,2.40000000,3.04470000,75787154.47000000,2021-08-09
2021-08-16,3.04540000,3.62150000,2.94000000,3.38490000,98842820.57000000,2021-08-16
2021-08-23,3.38610000,3.50420000,2.83600000,3.15300000,59803587.00000000,2021-08-23
2021-08-30,3.15300000,4.01200000,2.94800000,3.83400000,81296545.64000000,2021-08-30
2021-09-06,3.83400000,3.96000000,2.54600000,2.98900000,76511130.48000000,2021-09-06
2021-09-13,2.98700000,3.51500000,2.69300000,2.94500000,68607120.10000000,2021-09-13
2021-09-20,2.94700000,2.95500000,2.21400000,2.67900000,77077391.36000000,2021-09-20
2021-09-27,2.67900000,3.24900000,2.36200000,3.07900000,84350262.20000000,2021-09-27
2021-10-04,3.07800000,3.36700000,2.88800000,2.95200000,63218195.80000000,2021-10-04
2021-10-11,2.95100000,3.57500000,2.70100000,3.48300000,85703081.00000000,2021-10-11
2021-10-18,3.48300000,4.54780000,3.29800000,3.80300000,98698967.82000000,2021-10-18
2021-10-25,3.80400000,7.73000000,3.76300000,4.57600000,247927227.29000000,2021-10-25
2021-11-01,4.57300000,4.76100000,4.13300000,4.57100000,61023490.00000000,2021-11-01
2021-11-08,4.57200000,4.73200000,3.78200000,4.27900000,55958453.90000000,2021-11-08
2021-11-15,4.27800000,4.36000000,3.46600000,3.98700000,55994061.50000000,2021-11-15
2021-11-22,3.98800000,4.30800000,3.36400000,3.64600000,79829533.50000000,2021-11-22
2021-11-29,3.64800000,4.25900000,1.99400000,2.63700000,141917121.96000000,2021-11-29
2021-12-06,2.63800000,2.97000000,2.35900000,2.54700000,74721880.90000000,2021-12-06
2021-12-13,2.54800000,2.73100000,2.22900000,2.42300000,67983752.00000000,2021-12-13
2021-12-20,2.42300000,2.98000000,2.30000000,2.75500000,82779536.30000000,2021-12-20
2021-12-27,2.75800000,2.98200000,2.33600000,2.55400000,74354977.40000000,2021-12-27
2022-01-03,2.55300000,2.66000000,2.03400000,2.15100000,82584862.70000000,2022-01-03
2022-01-10,2.15000000,2.52400000,1.96500000,2.43500000,86731734.40000000,2022-01-10
2022-01-17,2.43500000,2.44900000,1.50000000,1.69100000,70985209.98000000,2022-01-17
2022-01-24,1.68900000,1.82900000,1.42200000,1.66200000,57593650.05000000,2022-01-24
2022-01-31,1.66000000,1.86800000,1.57500000,1.85900000,39614122.10000000,2022-01-31
2022-02-07,1.86000000,1.98300000,1.61200000,1.65700000,42899857.10000000,2022-02-07
2022-02-14,1.65700000,1.87200000,1.45600000,1.48600000,35973325.60000000,2022-02-14
2022-02-21,1.48500000,1.55300000,1.18100000,1.38400000,45837224.39000000,2022-02-21
2022-02-28,1.38400000,1.55300000,1.29100000,1.30300000,36010565.70000000,2022-02-28
2022-03-07,1.30200000,1.47200000,1.23000000,1.30900000,35036268.40000000,2022-03-07
2022-03-14,1.30800000,1.74500000,1.28600000,1.55700000,64182520.10000000,2022-03-14
2022-03-21,1.55700000,1.65700000,1.51200000,1.58800000,37840317.30000000,2022-03-21
