Open Time,Open,High,Low,Close,Volume,Close Time
2019-04-29,4.75500000,5.66000000,3.66100000,4.83700000,12872550.24900000,2019-04-29
2019-05-06,4.83800000,5.07100000,3.41500000,3.75000000,9027929.95100000,2019-05-06
2019-05-13,3.75000000,5.17100000,3.73400000,4.85200000,11937339.05100000,2019-05-13
2019-05-20,4.85200000,4.86400000,4.11500000,4.48100000,7890333.61900000,2019-05-20
2019-05-27,4.47800000,6.60300000,4.47000000,6.38800000,15397302.68000000,2019-05-27
2019-06-03,6.39300000,7.24900000,5.62000000,5.82600000,15221959.96200000,2019-06-03
2019-06-10,5.82500000,6.73700000,5.73300000,6.69200000,4548987.58500000,2019-06-10
2019-06-17,6.68900000,7.19300000,6.28500000,6.83800000,3936808.52300000,2019-06-17
2019-06-24,6.83000000,6.84900000,5.36000000,5.44300000,4040747.67900000,2019-06-24
2019-07-01,5.44300000,5.76600000,5.12300000,5.39800000,2197480.48400000,2019-07-01
2019-07-08,5.39900000,5.43500000,3.80000000,3.80500000,3438737.37700000,2019-07-08
2019-07-15,3.82000000,4.47100000,3.47500000,4.21800000,3712398.54300000,2019-07-15
2019-07-22,4.22000000,4.34500000,3.48900000,3.61200000,1900399.19400000,2019-07-22
2019-07-29,3.61300000,3.90900000,3.42400000,3.59200000,1938410.20000000,2019-07-29
2019-08-05,3.59200000,3.86800000,2.98900000,3.55200000,3205824.80600000,2019-08-05
2019-08-12,3.55400000,3.65600000,2.80400000,2.97100000,2457189.49800000,2019-08-12
2019-08-19,2.97200000,2.97200000,2.56900000,2.61700000,2135886.42500000,2019-08-19
2019-08-26,2.62000000,2.70100000,1.97800000,2.12900000,3235445.80500000,2019-08-26
2019-09-02,2.12300000,2.94300000,1.83000000,2.72700000,5168648.83800000,2019-09-02
2019-09-09,2.72200000,3.56500000,2.39600000,3.43300000,10123665.77600000,2019-09-09
2019-09-16,3.43000000,3.56400000,2.75000000,2.91100000,6463033.13900000,2019-09-16
2019-09-23,2.90100000,2.91000000,1.93000000,2.19500000,5684496.06100000,2019-09-23
2019-09-30,2.19500000,2.81000000,2.16400000,2.64200000,5968840.59300000,2019-09-30
2019-10-07,2.63600000,3.07100000,2.53300000,2.86500000,7868178.27000000,2019-10-07
2019-10-14,2.87000000,3.15900000,2.67800000,2.90200000,4229684.33300000,2019-10-14
2019-10-21,2.90200000,3.30000000,2.54700000,3.19600000,5339816.59800000,2019-10-21
2019-10-28,3.19600000,3.46200000,2.95000000,3.38300000,4207359.99900000,2019-10-28
2019-11-04,3.37800000,4.27900000,3.32800000,4.19200000,7706649.62700000,2019-11-04
2019-11-11,4.18900000,4.38100000,3.77700000,3.89500000,6572428.70600000,2019-11-11
2019-11-18,3.88800000,3.89600000,2.60800000,3.08300000,8340841.81400000,2019-11-18
2019-11-25,3.09400000,4.11000000,2.98300000,3.81300000,9988180.16500000,2019-11-25
2019-12-02,3.82400000,3.99700000,3.41400000,3.92100000,6393171.89700000,2019-12-02
2019-12-09,3.92100000,4.66800000,3.50600000,4.49400000,10772205.49900000,2019-12-09
2019-12-16,4.49500000,4.55500000,3.53600000,4.25700000,12999197.29200000,2019-12-16
2019-12-23,4.25800000,4.79000000,4.14100000,4.25300000,7681722.12500000,2019-12-23
2019-12-30,4.25300000,4.49000000,3.99000000,4.20000000,5126765.93100000,2019-12-30
2020-01-06,4.20700000,4.43500000,3.94600000,4.25300000,7190872.21500000,2020-01-06
2020-01-13,4.25500000,5.42300000,4.10200000,4.51600000,11375749.14900000,2020-01-13
2020-01-20,4.51600000,4.74900000,4.34400000,4.47800000,3511259.28200000,2020-01-20
2020-01-27,4.48000000,4.67200000,4.23500000,4.40300000,5921388.09000000,2020-01-27
2020-02-03,4.40300000,4.93800000,4.00000000,4.75700000,11441459.11300000,2020-02-03
2020-02-10,4.75700000,5.32700000,3.95500000,4.38200000,11365200.20500000,2020-02-10
2020-02-17,4.38200000,5.10500000,3.89000000,4.79400000,16520895.96800000,2020-02-17
2020-02-24,4.80200000,4.93800000,3.25100000,3.34700000,15515892.74900000,2020-02-24
2020-03-02,3.34300000,3.93600000,3.04400000,3.08100000,11820408.66100000,2020-03-02
2020-03-09,3.08300000,3.20000000,1.06100000,1.92100000,24747144.23600000,2020-03-09
2020-03-16,1.92400000,2.48500000,1.50000000,1.91700000,14400325.80500000,2020-03-16
2020-03-23,1.91600000,2.23300000,1.84400000,1.85000000,7782396.85600000,2020-03-23
2020-03-30,1.85200000,2.11000000,1.84500000,2.06400000,5731551.94600000,2020-03-30
2020-04-06,2.06500000,2.62600000,2.06400000,2.29900000,15148787.52400000,2020-04-06
2020-04-13,2.29600000,2.54300000,2.17100000,2.38200000,8668202.54500000,2020-04-13
2020-04-20,2.38100000,2.96200000,2.25400000,2.80800000,12874344.10600000,2020-04-20
2020-04-27,2.80800000,3.07700000,2.65100000,2.77400000,9290301.07300000,2020-04-27
2020-05-04,2.77700000,2.85500000,2.32400000,2.51400000,9836483.66900000,2020-05-04
2020-05-11,2.50800000,2.64000000,2.26700000,2.54400000,7208493.43600000,2020-05-11
2020-05-18,2.54400000,2.73400000,2.44600000,2.49500000,8304751.96500000,2020-05-18
2020-05-25,2.49200000,2.88800000,2.45800000,2.72800000,7802575.58500000,2020-05-25
2020-06-01,2.72800000,3.20000000,2.64000000,3.02000000,11225476.08700000,2020-06-01
2020-06-08,3.02200000,3.18600000,2.71800000,2.75600000,6870786.87600000,2020-06-08
2020-06-15,2.75600000,2.78100000,2.54000000,2.59900000,5235806.88700000,2020-06-15
2020-06-22,2.59900000,2.88100000,2.28800000,2.50400000,12327099.20100000,2020-06-22
2020-06-29,2.50700000,2.98800000,2.47200000,2.93000000,12546353.56900000,2020-06-29
2020-07-06,2.93300000,4.46600000,2.92100000,4.02300000,29143287.19400000,2020-07-06
2020-07-13,4.02800000,4.52000000,3.71500000,4.20200000,29117984.42500000,2020-07-13
2020-07-20,4.20200000,4.25900000,3.68900000,3.81000000,14769192.45100000,2020-07-20
2020-07-27,3.81100000,4.23500000,3.28800000,3.91200000,18981734.82600000,2020-07-27
2020-08-03,3.90600000,5.44000000,3.79200000,5.27300000,23758600.28500000,2020-08-03
2020-08-10,5.27300000,6.60400000,4.68900000,6.24300000,36787951.92800000,2020-08-10
2020-08-17,6.24600000,8.60200000,5.30000000,8.53200000,36461349.16000000,2020-08-17
2020-08-24,8.53500000,8.87700000,6.89400000,7.62100000,39920473.50800000,2020-08-24
2020-08-31,7.62200000,7.81900000,4.45500000,5.17800000,29621366.85700000,2020-08-31
2020-09-07,5.17700000,5.85700000,4.57100000,5.32000000,18549204.13100000,2020-09-07
2020-09-14,5.31700000,5.53900000,4.53500000,4.66400000,13199329.25100000,2020-09-14
2020-09-21,4.66300000,4.81900000,3.78000000,4.72700000,14653180.67000000,2020-09-21
2020-09-28,4.72700000,5.59600000,4.63700000,5.31400000,18511490.24300000,2020-09-28
2020-10-05,5.31900000,6.26900000,4.54900000,6.07200000,17285912.44800000,2020-10-05
