Open Time,Open,High,Low,Close,Volume,Close Time
2020-11-02,0.10000000,0.29000000,0.10000000,0.19846000,145958017.70000000,2020-11-02
2020-11-09,0.19716000,0.68600000,0.19716000,0.59068000,160503962.60000000,2020-11-09
2020-11-16,0.59068000,0.67500000,0.40000000,0.42719000,104641826.20000000,2020-11-16
2020-11-23,0.42933000,0.54697000,0.31562000,0.47698000,67701920.10000000,2020-11-23
2020-11-30,0.47700000,0.53646000,0.40000000,0.47941000,51549969.80000000,2020-11-30
2020-12-07,0.48108000,0.68298000,0.46771000,0.61390000,80499774.40000000,2020-12-07
2020-12-14,0.61377000,0.85640000,0.57862000,0.68945000,67259655.50000000,2020-12-14
2020-12-21,0.68669000,0.71688000,0.45876000,0.59955000,39587624.20000000,2020-12-21
2020-12-28,0.59957000,0.66500000,0.50000000,0.56523000,31088715.70000000,2020-12-28
2021-01-04,0.56816000,0.74000000,0.51010000,0.57292000,45286969.90000000,2021-01-04
2021-01-11,0.57171000,0.64699000,0.40990000,0.61396000,32750858.10000000,2021-01-11
2021-01-18,0.61372000,0.82222000,0.53500000,0.73510000,55138863.00000000,2021-01-18
2021-01-25,0.73510000,1.18900000,0.72001000,0.80531000,59580165.00000000,2021-01-25
2021-02-01,0.80327000,1.15900000,0.77000000,1.00107000,40232493.60000000,2021-02-01
2021-02-08,1.00413000,2.33735000,0.96812000,2.15325000,53378452.80000000,2021-02-08
2021-02-15,2.16022000,2.37000000,1.64613000,1.83545000,29998401.60000000,2021-02-15
2021-02-22,1.83558000,1.89335000,1.08337000,1.39999000,35094182.30000000,2021-02-22
2021-03-01,1.39555000,3.10000000,1.39020000,2.68507000,50283945.90000000,2021-03-01
2021-03-08,2.68656000,6.36000000,2.68512000,5.83924000,63279841.60000000,2021-03-08
2021-03-15,5.82818000,6.50000000,4.33542000,4.60434000,29798711.90000000,2021-03-15
2021-03-22,4.60371000,5.20000000,3.35670000,4.90518000,27181550.40000000,2021-03-22
2021-03-29,4.90518000,7.82703000,4.65360000,5.88344000,44428602.00000000,2021-03-29
2021-04-05,5.88344000,11.30000000,5.63238000,7.21778000,62683097.40000000,2021-04-05
2021-04-12,7.22905000,8.89417000,5.68000000,6.66909000,23157191.70000000,2021-04-12
2021-04-19,6.64922000,11.29000000,6.03166000,6.57400000,64106954.08000000,2021-04-19
2021-04-26,6.58610000,11.00000000,6.40210000,9.31850000,22408225.27000000,2021-04-26
2021-05-03,9.32550000,9.69160000,7.41570000,8.07540000,16942946.11000000,2021-05-03
2021-05-10,8.08390000,9.19900000,6.06540000,6.50090000,16163209.30000000,2021-05-10
2021-05-17,6.50120000,7.14360000,1.80800000,3.34490000,21006630.24000000,2021-05-17
2021-05-24,3.34540000,6.04830000,3.34540000,4.53380000,31996699.03000000,2021-05-24
2021-05-31,4.52830000,5.29910000,4.07220000,4.36940000,16482748.53000000,2021-05-31
2021-06-07,4.37590000,5.13790000,3.41200000,3.98630000,22119648.66000000,2021-06-07
2021-06-14,3.98720000,5.00000000,3.81060000,4.20400000,15612983.07000000,2021-06-14
2021-06-21,4.20570000,4.22270000,2.85770000,3.72360000,14212673.48000000,2021-06-21
2021-06-28,3.72580000,9.85990000,3.66110000,8.76580000,41402022.36000000,2021-06-28
2021-07-05,8.76610000,19.60000000,7.73500000,18.94090000,159665890.97000000,2021-07-05
2021-07-12,18.95300000,29.20000000,16.85000000,18.62700000,148547627.49000000,2021-07-12
2021-07-19,18.62710000,49.78070000,14.13550000,43.93410000,185792299.40000000,2021-07-19
