Open Time,Open,High,Low,Close,Volume,Close Time
2019-09-02,0.00743000,0.01459800,0.00720000,0.00984000,575853026.00000000,2019-09-02
2019-09-09,0.00983700,0.00983700,0.00580000,0.00720000,346929604.00000000,2019-09-09
2019-09-16,0.00715300,0.00785000,0.00568200,0.00569900,250909349.00000000,2019-09-16
2019-09-23,0.00568900,0.00608200,0.00380000,0.00411000,135101041.00000000,2019-09-23
2019-09-30,0.00414500,0.00479000,0.00398000,0.00437600,149137589.00000000,2019-09-30
2019-10-07,0.00437400,0.00523100,0.00426600,0.00496900,106551401.00000000,2019-10-07
2019-10-14,0.00496100,0.01045900,0.00490100,0.00986000,587172484.00000000,2019-10-14
2019-10-21,0.00987900,0.01200000,0.00760400,0.01018100,643682706.00000000,2019-10-21
2019-10-28,0.01019900,0.01697900,0.00948200,0.01593600,493046530.00000000,2019-10-28
2019-11-04,0.01593700,0.01970000,0.01240300,0.01322600,825491396.00000000,2019-11-04
2019-11-11,0.01331200,0.01502300,0.01271000,0.01374300,395368960.00000000,2019-11-11
2019-11-18,0.01373300,0.01396200,0.00940600,0.01085000,343340794.00000000,2019-11-18
2019-11-25,0.01095100,0.01345000,0.01000200,0.01140000,376787469.00000000,2019-11-25
2019-12-02,0.01136700,0.01200000,0.00941900,0.00964100,211952041.00000000,2019-12-02
2019-12-09,0.00964800,0.01031000,0.00631600,0.00829000,176184769.00000000,2019-12-09
2019-12-16,0.00829000,0.00885000,0.00658400,0.00786900,142807715.00000000,2019-12-16
2019-12-23,0.00790000,0.00810000,0.00722500,0.00723400,88442123.00000000,2019-12-23
2019-12-30,0.00723100,0.00830100,0.00660000,0.00786900,183213753.00000000,2019-12-30
2020-01-06,0.00782500,0.00799900,0.00666600,0.00700800,175953287.00000000,2020-01-06
2020-01-13,0.00699600,0.00785000,0.00672700,0.00707900,159003049.00000000,2020-01-13
2020-01-20,0.00707900,0.00803000,0.00651600,0.00691600,218065620.00000000,2020-01-20
2020-01-27,0.00691500,0.00788600,0.00678600,0.00777600,154548300.00000000,2020-01-27
2020-02-03,0.00777600,0.01060000,0.00772100,0.01049700,355676347.00000000,2020-02-03
2020-02-10,0.01049700,0.01970000,0.00955100,0.01353000,1210389588.00000000,2020-02-10
2020-02-17,0.01353000,0.01512100,0.01285000,0.01345800,449234186.00000000,2020-02-17
2020-02-24,0.01343900,0.01439900,0.01000000,0.01203000,405035661.00000000,2020-02-24
2020-03-02,0.01206900,0.01389900,0.01036000,0.01048200,1659809511.00000000,2020-03-02
