Open Time,Open,High,Low,Close,Volume,Close Time
2020-02-24,0.02955000,0.02955000,0.01718000,0.01906000,251837894.90000000,2020-02-24
2020-03-02,0.01900000,0.03890000,0.01883000,0.03378000,617518834.70000000,2020-03-02
2020-03-09,0.03378000,0.03616000,0.00850000,0.01363000,485783866.60000000,2020-03-09
2020-03-16,0.01363000,0.01918000,0.00960000,0.01206000,300777166.30000000,2020-03-16
2020-03-23,0.01209000,0.01773000,0.01160000,0.01576000,258845695.40000000,2020-03-23
2020-03-30,0.01572000,0.02249000,0.01572000,0.02064000,334120348.10000000,2020-03-30
2020-04-06,0.02073000,0.02256000,0.01610000,0.01696000,298756625.00000000,2020-04-06
2020-04-13,0.01696000,0.02198000,0.01610000,0.02106000,162903812.20000000,2020-04-13
2020-04-20,0.02106000,0.02442000,0.01805000,0.02353000,227580545.30000000,2020-04-20
2020-04-27,0.02353000,0.02372000,0.01998000,0.02076000,166672185.30000000,2020-04-27
2020-05-04,0.02073000,0.02170000,0.01700000,0.01849000,128981136.50000000,2020-05-04
2020-05-11,0.01848000,0.01999000,0.01723000,0.01887000,95382485.20000000,2020-05-11
2020-05-18,0.01888000,0.02533000,0.01831000,0.02190000,177430051.90000000,2020-05-18
2020-05-25,0.02188000,0.02534000,0.02010000,0.02026000,186388444.80000000,2020-05-25
2020-06-01,0.02025000,0.02368000,0.02000000,0.02193000,123061705.60000000,2020-06-01
2020-06-08,0.02196000,0.02565000,0.02118000,0.02452000,155801857.10000000,2020-06-08
2020-06-15,0.02438000,0.02995000,0.02181000,0.02763000,219821797.40000000,2020-06-15
2020-06-22,0.02763000,0.02897000,0.02245000,0.02523000,181330156.90000000,2020-06-22
2020-06-29,0.02508000,0.02692000,0.02401000,0.02514000,97336794.10000000,2020-06-29
2020-07-06,0.02515000,0.03499000,0.02451000,0.03257000,214272379.50000000,2020-07-06
2020-07-13,0.03256000,0.03552000,0.02725000,0.03285000,176928464.10000000,2020-07-13
2020-07-20,0.03283000,0.05268000,0.03249000,0.05155000,583341039.60000000,2020-07-20
2020-07-27,0.05152000,0.05152000,0.03622000,0.04107000,318902360.30000000,2020-07-27
2020-08-03,0.04094000,0.06000000,0.04094000,0.05800000,295788545.90000000,2020-08-03
2020-08-10,0.05800000,0.08100000,0.05512000,0.08006000,478946555.90000000,2020-08-10
2020-08-17,0.08007000,0.08681000,0.06044000,0.06492000,447246843.00000000,2020-08-17
2020-08-24,0.06492000,0.09205000,0.06446000,0.08997000,520085131.50000000,2020-08-24
2020-08-31,0.08999000,0.09836000,0.04404000,0.05400000,522006107.40000000,2020-08-31
2020-09-07,0.05399000,0.06168000,0.04310000,0.05060000,503202168.90000000,2020-09-07
2020-09-14,0.05062000,0.05846000,0.04540000,0.04638000,401799723.90000000,2020-09-14
2020-09-21,0.04637000,0.04900000,0.03269000,0.04165000,485983633.50000000,2020-09-21
2020-09-28,0.04161000,0.04526000,0.03190000,0.03484000,468881512.30000000,2020-09-28
2020-10-05,0.03487000,0.03949000,0.02822000,0.03668000,507076472.80000000,2020-10-05
2020-10-12,0.03669000,0.04105000,0.03001000,0.03314000,229617866.70000000,2020-10-12
2020-10-19,0.03322000,0.03529000,0.02845000,0.03436000,386347206.50000000,2020-10-19
2020-10-26,0.03439000,0.03717000,0.02592000,0.03132000,369968570.00000000,2020-10-26
2020-11-02,0.03146000,0.03855000,0.02596000,0.03462000,271773830.00000000,2020-11-02
2020-11-09,0.03465000,0.04031000,0.03160000,0.03619000,275979131.20000000,2020-11-09
2020-11-16,0.03619000,0.04600000,0.03413000,0.04247000,418233390.80000000,2020-11-16
2020-11-23,0.04250000,0.05698000,0.04061000,0.04694000,515737511.50000000,2020-11-23
2020-11-30,0.04708000,0.05140000,0.04401000,0.04553000,271412356.50000000,2020-11-30
2020-12-07,0.04555000,0.05511000,0.03910000,0.05399000,480099410.20000000,2020-12-07
2020-12-14,0.05398000,0.06954000,0.05153000,0.05644000,830090059.70000000,2020-12-14
2020-12-21,0.05644000,0.05758000,0.04000000,0.05026000,492897639.90000000,2020-12-21
2020-12-28,0.05025000,0.05585000,0.04357000,0.05091000,438964675.80000000,2020-12-28
2021-01-04,0.05097000,0.06600000,0.04396000,0.05857000,649099938.30000000,2021-01-04
2021-01-11,0.05857000,0.06750000,0.04341000,0.06187000,444233279.50000000,2021-01-11
2021-01-18,0.06187000,0.07959000,0.05842000,0.07090000,590607112.50000000,2021-01-18
2021-01-25,0.07084000,0.07800000,0.05570000,0.06403000,537830034.50000000,2021-01-25
2021-02-01,0.06400000,0.08105000,0.06070000,0.07668000,570415753.60000000,2021-02-01
2021-02-08,0.07684000,0.15323000,0.07622000,0.12640000,989685233.70000000,2021-02-08
2021-02-15,0.12640000,0.22500000,0.11154000,0.20275000,921604580.20000000,2021-02-15
2021-02-22,0.20329000,0.24970000,0.14100000,0.19348000,1239850839.20000000,2021-02-22
2021-03-01,0.19354000,0.33299000,0.18800000,0.32800000,1094080197.30000000,2021-03-01
2021-03-08,0.32789000,0.60000000,0.31283000,0.35022000,2293166410.70000000,2021-03-08
2021-03-15,0.35023000,0.49890000,0.32187000,0.46634000,1260914413.30000000,2021-03-15
2021-03-22,0.46611000,0.57980000,0.37000000,0.45327000,1210039223.60000000,2021-03-22
2021-03-29,0.45329000,0.52900000,0.37000000,0.40584000,857739663.60000000,2021-03-29
2021-04-05,0.40584000,0.44891000,0.32000000,0.36352000,664597332.50000000,2021-04-05
2021-04-12,0.36351000,0.39687000,0.23833000,0.30271000,695336382.60000000,2021-04-12
2021-04-19,0.30274000,0.38331000,0.23000000,0.26397000,1008103990.70000000,2021-04-19
2021-04-26,0.26411000,0.42985000,0.26201000,0.38188000,776333910.10000000,2021-04-26
2021-05-03,0.38188000,0.39990000,0.32265000,0.36259000,562536752.50000000,2021-05-03
2021-05-10,0.36309000,0.48594000,0.29329000,0.41694000,1080446278.50000000,2021-05-10
2021-05-17,0.41699000,0.43495000,0.12377000,0.16151000,1188395097.20000000,2021-05-17
2021-05-24,0.16143000,0.27999000,0.16097000,0.22218000,962241531.10000000,2021-05-24
2021-05-31,0.22249000,0.27725000,0.20558000,0.22648000,608752638.80000000,2021-05-31
2021-06-07,0.22620000,0.23969000,0.17501000,0.21361000,651597815.30000000,2021-06-07
2021-06-14,0.21343000,0.22473000,0.16642000,0.18247000,426553013.60000000,2021-06-14
2021-06-21,0.18275000,0.18397000,0.11552000,0.14208000,488931252.10000000,2021-06-21
2021-06-28,0.14208000,0.16300000,0.13025000,0.14179000,321495246.10000000,2021-06-28
2021-07-05,0.14159000,0.14821000,0.12054000,0.13472000,359844996.10000000,2021-07-05
2021-07-12,0.13478000,0.13800000,0.10749000,0.11693000,359263143.90000000,2021-07-12
2021-07-19,0.11700000,0.12810000,0.08879000,0.12345000,436167604.20000000,2021-07-19
2021-07-26,0.12345000,0.14800000,0.11843000,0.13557000,551837452.10000000,2021-07-26
2021-08-02,0.13561000,0.18063000,0.13323000,0.16477000,696799220.90000000,2021-08-02
2021-08-09,0.16494000,0.23515000,0.15990000,0.22390000,716731909.40000000,2021-08-09
2021-08-16,0.22373000,0.32603000,0.20650000,0.30300000,1023584761.80000000,2021-08-16
2021-08-23,0.30300000,0.49000000,0.27033000,0.36270000,1898100551.50000000,2021-08-23
2021-08-30,0.36270000,0.40000000,0.30545000,0.36990000,761443963.70000000,2021-08-30
2021-09-06,0.36980000,0.39190000,0.23500000,0.34860000,898980495.50000000,2021-09-06
2021-09-13,0.34860000,0.45350000,0.28070000,0.36810000,1010347938.10000000,2021-09-13
2021-09-20,0.36790000,0.66700000,0.28440000,0.51970000,3072186875.20000000,2021-09-20
2021-09-27,0.51930000,0.68040000,0.48550000,0.56110000,2236585462.00000000,2021-09-27
2021-10-04,0.56110000,0.60990000,0.48250000,0.51290000,1039103875.00000000,2021-10-04
2021-10-11,0.51270000,0.54500000,0.46540000,0.49020000,473398197.00000000,2021-10-11
2021-10-18,0.49050000,0.56110000,0.46850000,0.49860000,470886199.00000000,2021-10-18
2021-10-25,0.49830000,0.69400000,0.42540000,0.63930000,1105813398.00000000,2021-10-25
2021-11-01,0.63900000,0.67000000,0.51170000,0.53850000,586836775.00000000,2021-11-01
2021-11-08,0.53870000,0.59170000,0.46770000,0.52250000,484495223.00000000,2021-11-08
2021-11-15,0.52260000,0.53360000,0.40020000,0.43780000,324728360.00000000,2021-11-15
2021-11-22,0.43800000,0.46130000,0.35190000,0.39820000,396078601.00000000,2021-11-22
2021-11-29,0.39830000,0.51210000,0.25070000,0.34690000,750246509.00000000,2021-11-29
2021-12-06,0.34700000,0.38900000,0.29000000,0.34890000,376567597.00000000,2021-12-06
