Open Time,Open,High,Low,Close,Volume,Close Time
2020-08-10,5.00000000,23.25500000,5.00000000,5.78200000,8238967.48100000,2020-08-10
2020-08-17,5.78100000,5.94000000,2.58000000,2.69500000,34466793.38400000,2020-08-17
2020-08-24,2.68500000,4.31600000,2.59500000,3.55400000,47657945.55400000,2020-08-24
2020-08-31,3.55700000,5.70100000,1.50000000,2.16000000,88519560.60400000,2020-08-31
2020-09-07,2.16100000,2.29800000,1.70000000,1.90800000,63022736.39100000,2020-09-07
2020-09-14,1.90800000,1.98200000,1.19600000,1.36100000,83754961.39800000,2020-09-14
2020-09-21,1.36100000,1.40300000,0.86400000,1.04000000,83380255.19400000,2020-09-21
2020-09-28,1.04000000,1.10000000,0.67400000,0.69700000,59162397.42600000,2020-09-28
2020-10-05,0.69700000,0.72100000,0.45500000,0.55900000,102753040.80800000,2020-10-05
2020-10-12,0.55800000,0.59900000,0.41800000,0.45500000,59874649.43800000,2020-10-12
2020-10-19,0.45600000,0.45800000,0.32800000,0.33700000,81293259.31300000,2020-10-19
2020-10-26,0.33700000,0.67800000,0.33300000,0.40100000,189669101.23100000,2020-10-26
2020-11-02,0.40200000,0.54800000,0.33000000,0.47100000,122600576.96600000,2020-11-02
2020-11-09,0.47100000,0.84500000,0.42200000,0.78000000,230439624.40000000,2020-11-09
2020-11-16,0.77900000,0.95700000,0.69100000,0.74600000,254441303.11900000,2020-11-16
2020-11-23,0.74700000,0.80400000,0.48500000,0.65600000,191519925.89600000,2020-11-23
2020-11-30,0.65600000,0.85800000,0.62800000,0.70200000,187398673.46000000,2020-11-30
2020-12-07,0.70300000,0.74400000,0.53500000,0.61700000,110949871.56500000,2020-12-07
2020-12-14,0.61600000,0.70000000,0.59200000,0.61600000,100030346.17700000,2020-12-14
2020-12-21,0.61600000,0.62900000,0.38500000,0.47200000,127236070.82200000,2020-12-21
2020-12-28,0.47300000,0.69600000,0.44200000,0.67700000,212787186.44000000,2020-12-28
2021-01-04,0.67800000,0.84200000,0.58100000,0.75400000,239620573.55300000,2021-01-04
2021-01-11,0.75300000,1.79000000,0.53100000,1.69100000,405403738.19200000,2021-01-11
2021-01-18,1.69000000,2.35000000,1.25700000,2.26000000,431588990.53500000,2021-01-18
2021-01-25,2.26000000,2.84900000,1.73600000,2.51100000,277339802.37300000,2021-01-25
2021-02-01,2.51400000,3.66600000,2.30000000,2.98100000,186446080.67800000,2021-02-01
2021-02-08,2.98000000,3.61800000,2.84900000,2.95500000,125620472.20500000,2021-02-08
2021-02-15,2.95500000,3.26900000,2.08000000,2.90500000,139157470.95300000,2021-02-15
2021-02-22,2.90500000,2.91200000,1.62000000,1.76900000,150468002.74700000,2021-02-22
2021-03-01,1.76700000,2.64000000,1.75200000,2.24500000,154003851.99900000,2021-03-01
2021-03-08,2.24500000,2.48500000,1.96000000,2.10700000,117236456.39000000,2021-03-08
2021-03-15,2.10800000,2.97300000,2.04100000,2.59400000,120247315.18400000,2021-03-15
2021-03-22,2.59300000,3.39000000,2.22000000,3.02400000,211843408.39800000,2021-03-22
2021-03-29,3.02200000,3.57700000,2.85400000,3.10300000,121289507.00300000,2021-03-29
2021-04-05,3.10500000,3.50000000,2.72200000,3.11100000,107316115.68900000,2021-04-05
2021-04-12,3.11100000,4.65000000,2.40000000,3.22300000,227787573.46100000,2021-04-12
2021-04-19,3.22000000,3.48200000,2.19500000,2.38200000,151846784.63600000,2021-04-19
2021-04-26,2.38400000,3.49000000,2.34700000,3.27900000,138885960.25000000,2021-04-26
2021-05-03,3.27600000,3.96900000,2.74400000,3.44700000,155589469.46500000,2021-05-03
2021-05-10,3.44800000,4.26400000,2.80000000,3.27200000,272768070.67400000,2021-05-10
2021-05-17,3.27200000,3.60500000,1.05700000,1.32000000,315498909.45400000,2021-05-17
2021-05-24,1.31900000,1.93200000,1.27400000,1.67900000,189819476.79100000,2021-05-24
2021-05-31,1.67900000,2.90000000,1.59900000,2.45700000,227590792.94200000,2021-05-31
2021-06-07,2.45800000,2.58400000,1.98200000,2.20500000,162581460.05700000,2021-06-07
2021-06-14,2.20500000,2.35600000,1.74400000,1.92100000,91076237.98200000,2021-06-14
2021-06-21,1.92000000,1.94900000,1.21600000,1.58700000,147670291.13600000,2021-06-21
2021-06-28,1.58700000,1.90400000,1.55200000,1.83900000,79804544.11600000,2021-06-28
2021-07-05,1.83900000,2.09900000,1.65800000,1.76000000,77789117.67700000,2021-07-05
2021-07-12,1.76000000,1.79100000,1.39300000,1.41200000,44075580.99000000,2021-07-12
2021-07-19,1.41200000,1.61800000,1.22200000,1.52400000,59501300.69700000,2021-07-19
2021-07-26,1.52500000,1.78000000,1.47200000,1.65800000,84215194.08000000,2021-07-26
2021-08-02,1.65800000,1.98000000,1.53100000,1.75500000,84149879.02800000,2021-08-02
2021-08-09,1.75600000,2.37800000,1.70700000,2.22000000,104861254.70900000,2021-08-09
2021-08-16,2.22100000,2.46900000,1.84600000,2.44000000,127087261.67300000,2021-08-16
2021-08-23,2.44200000,2.51600000,1.98300000,2.10300000,97032918.87300000,2021-08-23
2021-08-30,2.10300000,2.54500000,2.01900000,2.48000000,129409620.93200000,2021-08-30
2021-09-06,2.48100000,2.66700000,1.63700000,2.42100000,145682360.01000000,2021-09-06
2021-09-13,2.42100000,3.44500000,2.04400000,3.04600000,233009061.97300000,2021-09-13
2021-09-20,3.04400000,3.14300000,2.06300000,2.54300000,180861909.90000000,2021-09-20
2021-09-27,2.54300000,2.96200000,2.21200000,2.81700000,131340950.30000000,2021-09-27
2021-10-04,2.81700000,3.09700000,2.62500000,2.69800000,110993818.10000000,2021-10-04
2021-10-11,2.69700000,3.15700000,2.51900000,2.86900000,83672774.90000000,2021-10-11
2021-10-18,2.86900000,3.95000000,2.68200000,3.50200000,108806062.40300000,2021-10-18
2021-10-25,3.50200000,5.50000000,3.48500000,4.42000000,276701721.42800000,2021-10-25
2021-11-01,4.42200000,4.75000000,3.87100000,4.49300000,98483875.50000000,2021-11-01
2021-11-08,4.49700000,5.00000000,3.68000000,4.13000000,101426514.90000000,2021-11-08
2021-11-15,4.13000000,4.29900000,3.26000000,3.79700000,106544321.30000000,2021-11-15
2021-11-22,3.79700000,6.39900000,3.71000000,4.87800000,267084316.87000000,2021-11-22
2021-11-29,4.87800000,5.48100000,2.69200000,3.62000000,141261238.10000000,2021-11-29
2021-12-06,3.62600000,4.27200000,3.20500000,3.83300000,108652758.50000000,2021-12-06
2021-12-13,3.83500000,4.61700000,3.22500000,4.17000000,143466598.90000000,2021-12-13
2021-12-20,4.16700000,6.07600000,3.78400000,5.73900000,172388981.50000000,2021-12-20
2021-12-27,5.73600000,6.45800000,4.64600000,6.04100000,193821452.22600000,2021-12-27
2022-01-03,6.04000000,6.80000000,4.37200000,4.50300000,241262265.33200000,2022-01-03
2022-01-10,4.49900000,5.48000000,4.01000000,5.14100000,172070398.50000000,2022-01-10
2022-01-17,5.14200000,5.17800000,2.55700000,3.01900000,191180062.10000000,2022-01-17
2022-01-24,3.01800000,3.29600000,2.36400000,3.18300000,195054237.60000000,2022-01-24
2022-01-31,3.18200000,3.57200000,2.94700000,3.37700000,125752319.70000000,2022-01-31
2022-02-07,3.37600000,3.72300000,2.72000000,2.74500000,103049645.20000000,2022-02-07
2022-02-14,2.74500000,3.30000000,2.51200000,2.55000000,82760405.80000000,2022-02-14
2022-02-21,2.54900000,2.69100000,1.89100000,2.18800000,114791901.20000000,2022-02-21
2022-02-28,2.18800000,2.76000000,2.05400000,2.06200000,87251532.40000000,2022-02-28
2022-03-07,2.06100000,2.21400000,1.89300000,1.91900000,59698887.40000000,2022-03-07
2022-03-14,1.91900000,2.32600000,1.86800000,2.14700000,68238120.90000000,2022-03-14
2022-03-21,2.14800000,2.43700000,2.10400000,2.34900000,49927177.70000000,2022-03-21
