Open Time,Open,High,Low,Close,Volume,Close Time
2018-05-28,12.49000000,15.67740000,10.70000000,14.53040000,44817812.53000000,2018-05-28
2018-06-04,14.53040000,15.00150000,10.98000000,11.73130000,39189936.13000000,2018-06-04
2018-06-11,11.73550000,11.93000000,9.12000000,10.33880000,51540936.95000000,2018-06-11
2018-06-18,10.33880000,10.96930000,6.92000000,8.06000000,65050019.65000000,2018-06-18
2018-06-25,8.05260000,8.70000000,7.08040000,8.11640000,60101766.46000000,2018-06-25
2018-07-02,8.11360000,9.43630000,7.88000000,8.68270000,50173915.09000000,2018-07-02
2018-07-09,8.68260000,8.71650000,6.54000000,7.40750000,83327500.38000000,2018-07-09
2018-07-16,7.40260000,9.37000000,7.22020000,7.84880000,84836724.00000000,2018-07-16
2018-07-23,7.84610000,9.14070000,7.71650000,8.31480000,83728191.74000000,2018-07-23
2018-07-30,8.31710000,8.35000000,6.85000000,7.03730000,60494432.15000000,2018-07-30
2018-08-06,7.03390000,7.19000000,4.81520000,4.96530000,83153865.11000000,2018-08-06
2018-08-13,4.96310000,5.66100000,4.15000000,5.28430000,82730886.18000000,2018-08-13
2018-08-20,5.28540000,5.35500000,4.52030000,4.94970000,86401815.48000000,2018-08-20
2018-08-27,4.94570000,6.81160000,4.90430000,6.63660000,103123149.26000000,2018-08-27
2018-09-03,6.63860000,6.71900000,4.63000000,4.94490000,94501052.30000000,2018-09-03
2018-09-10,4.94490000,5.55550000,4.72000000,5.40900000,83867421.51000000,2018-09-10
2018-09-17,5.40690000,6.30000000,4.67450000,6.02630000,78596128.18000000,2018-09-17
2018-09-24,6.02650000,6.04050000,5.01000000,5.72570000,86609550.07000000,2018-09-24
2018-10-01,5.72590000,5.91000000,5.44310000,5.76300000,87146709.85000000,2018-10-01
2018-10-08,5.75850000,6.02980000,5.01510000,5.21490000,70983247.19000000,2018-10-08
2018-10-15,5.21050000,6.05000000,5.14480000,5.51250000,56416015.01000000,2018-10-15
2018-10-22,5.51080000,5.55560000,5.38100000,5.43420000,16508416.41000000,2018-10-22
2018-10-29,5.43430000,5.61530000,5.06330000,5.54420000,12922303.65000000,2018-10-29
2018-11-05,5.54430000,5.84000000,5.27200000,5.48860000,12258840.26000000,2018-11-05
2018-11-12,5.48220000,5.52700000,4.26900000,4.64250000,19902835.27000000,2018-11-12
2018-11-19,4.64970000,4.65010000,3.04000000,3.40500000,55235662.62000000,2018-11-19
2018-11-26,3.40500000,3.47280000,2.79880000,2.86050000,43528669.65000000,2018-11-26
2018-12-03,2.86280000,2.89000000,1.52800000,1.98550000,85778783.81000000,2018-12-03
2018-12-10,1.98690000,2.05800000,1.75480000,1.90400000,69580213.16000000,2018-12-10
2018-12-17,1.90360000,2.93460000,1.89730000,2.77740000,121084844.24000000,2018-12-17
2018-12-24,2.77750000,3.08420000,2.21370000,2.63490000,86702399.27000000,2018-12-24
2018-12-31,2.63400000,2.86260000,2.43230000,2.80920000,49163006.45000000,2018-12-31
2019-01-07,2.81040000,2.94740000,2.17620000,2.20920000,56560680.53000000,2019-01-07
2019-01-14,2.20950000,2.50850000,2.20440000,2.32660000,41824953.19000000,2019-01-14
2019-01-21,2.32790000,2.49480000,2.25830000,2.35220000,28487835.40000000,2019-01-21
2019-01-28,2.35210000,2.45500000,2.15000000,2.37070000,23216972.37000000,2019-01-28
2019-02-04,2.37010000,2.86000000,2.30000000,2.83930000,31519780.27000000,2019-02-04
2019-02-11,2.84010000,3.01710000,2.68260000,2.87620000,37741284.17000000,2019-02-11
2019-02-18,2.87620000,4.44160000,2.86010000,3.52890000,105197547.32000000,2019-02-18
2019-02-25,3.53270000,3.71300000,3.26580000,3.51580000,57538211.13000000,2019-02-25
2019-03-04,3.51590000,3.90000000,3.10000000,3.69350000,72855218.56000000,2019-03-04
2019-03-11,3.69480000,3.84750000,3.46880000,3.73760000,44584228.30000000,2019-03-11
2019-03-18,3.73660000,3.79540000,3.49120000,3.63140000,34824761.34000000,2019-03-18
2019-03-25,3.63140000,4.40600000,3.57140000,4.18930000,57342843.11000000,2019-03-25
2019-04-01,4.18950000,5.91100000,4.13820000,5.42070000,86207597.78000000,2019-04-01
2019-04-08,5.41740000,5.97300000,5.02760000,5.54220000,66575364.16000000,2019-04-08
2019-04-15,5.54210000,5.60870000,4.90710000,5.19870000,30873465.16000000,2019-04-15
2019-04-22,5.20000000,5.36980000,4.52260000,4.74380000,39336050.56000000,2019-04-22
2019-04-29,4.74530000,5.20990000,4.45000000,4.87900000,32252762.53000000,2019-04-29
2019-05-06,4.88080000,5.76020000,4.57060000,5.33190000,44953475.34000000,2019-05-06
2019-05-13,5.33310000,6.89950000,5.28090000,6.45810000,64398069.55000000,2019-05-13
2019-05-20,6.45780000,6.97270000,5.72270000,6.85110000,40448282.00000000,2019-05-20
2019-05-27,6.85380000,8.69030000,6.79410000,7.71880000,105489840.46000000,2019-05-27
2019-06-03,7.72290000,7.73100000,5.92510000,6.13900000,70517366.79000000,2019-06-03
2019-06-10,6.13890000,7.18800000,6.03510000,6.97030000,42138701.88000000,2019-06-10
2019-06-17,6.97030000,7.64970000,6.63660000,7.27120000,43913524.48000000,2019-06-17
2019-06-24,7.27050000,7.44750000,5.63290000,5.79260000,74427692.04000000,2019-06-24
2019-07-01,5.79490000,6.15000000,5.55040000,5.92780000,44597057.84000000,2019-07-01
2019-07-08,5.92780000,6.02540000,4.04690000,4.10000000,65408203.01000000,2019-07-08
2019-07-15,4.10030000,4.47520000,3.34020000,4.32880000,68230314.57000000,2019-07-15
2019-07-22,4.32910000,4.75720000,3.88770000,4.28070000,42874832.35000000,2019-07-22
2019-07-29,4.27730000,4.44720000,4.03470000,4.21400000,22134621.10000000,2019-07-29
2019-08-05,4.21610000,4.57710000,3.78580000,4.20280000,26985353.03000000,2019-08-05
2019-08-12,4.20250000,4.20930000,3.46730000,3.69250000,23492347.90000000,2019-08-12
2019-08-19,3.69010000,3.81520000,3.34740000,3.55100000,18457088.60000000,2019-08-19
2019-08-26,3.55070000,3.69360000,3.05000000,3.25620000,20589742.90000000,2019-08-26
2019-09-02,3.25720000,3.83880000,3.10000000,3.78000000,35645126.76000000,2019-09-02
2019-09-09,3.78170000,4.15000000,3.60960000,4.07630000,47716232.60000000,2019-09-09
2019-09-16,4.07450000,4.23410000,3.71200000,3.81220000,45571106.95000000,2019-09-16
2019-09-23,3.81220000,3.87780000,2.42120000,2.77790000,105934271.84000000,2019-09-23
2019-09-30,2.77810000,3.12130000,2.71830000,2.90580000,41240231.85000000,2019-09-30
2019-10-07,2.90670000,3.31000000,2.89340000,3.10270000,48479805.02000000,2019-10-07
2019-10-14,3.10170000,3.20000000,2.70000000,2.92250000,39941535.45000000,2019-10-14
2019-10-21,2.92250000,3.55000000,2.53300000,3.32810000,95418671.03000000,2019-10-21
2019-10-28,3.32880000,3.54690000,3.15520000,3.27020000,54866444.74000000,2019-10-28
2019-11-04,3.27070000,3.68860000,3.23770000,3.58280000,54530096.32000000,2019-11-04
2019-11-11,3.58240000,3.59840000,3.28110000,3.39580000,34463101.76000000,2019-11-11
2019-11-18,3.39680000,3.40130000,2.35500000,2.41150000,83709232.93000000,2019-11-18
2019-11-25,2.41290000,2.85590000,2.33070000,2.77370000,63672694.23000000,2019-11-25
2019-12-02,2.77200000,2.79260000,2.55860000,2.74010000,35840917.89000000,2019-12-02
2019-12-09,2.74130000,2.75160000,2.50990000,2.56310000,25102954.43000000,2019-12-09
2019-12-16,2.56240000,2.56590000,2.14280000,2.53440000,51021059.74000000,2019-12-16
2019-12-23,2.53530000,2.71780000,2.44220000,2.68590000,29752781.15000000,2019-12-23
2019-12-30,2.68610000,2.77590000,2.41930000,2.68650000,30073510.17000000,2019-12-30
2020-01-06,2.68450000,3.21600000,2.65000000,3.21070000,60136129.36000000,2020-01-06
2020-01-13,3.20860000,4.08000000,3.06640000,3.61150000,107927321.53000000,2020-01-13
2020-01-20,3.61330000,3.74710000,3.35240000,3.64860000,46835506.26000000,2020-01-20
2020-01-27,3.65000000,4.40000000,3.64510000,4.21450000,72943477.91000000,2020-01-27
2020-02-03,4.21460000,5.04630000,4.06190000,5.01110000,57072129.24000000,2020-02-03
2020-02-10,5.00680000,5.49960000,4.03570000,4.38120000,87886988.29000000,2020-02-10
2020-02-17,4.37810000,4.65000000,3.59910000,4.37780000,97026376.41000000,2020-02-17
2020-02-24,4.37750000,4.40100000,3.28010000,3.50750000,114131245.38000000,2020-02-24
2020-03-02,3.50700000,3.86000000,2.98720000,3.04350000,60358047.38000000,2020-03-02
2020-03-09,3.04430000,3.16470000,1.35860000,2.04470000,238380467.10000000,2020-03-09
2020-03-16,2.04330000,2.51980000,1.71740000,2.13440000,173441143.12000000,2020-03-16
2020-03-23,2.13430000,2.37580000,2.06300000,2.11330000,82826564.25000000,2020-03-23
2020-03-30,2.11450000,2.49680000,2.10830000,2.35050000,63860039.72000000,2020-03-30
2020-04-06,2.35050000,2.82530000,2.35000000,2.49800000,79222552.71000000,2020-04-06
2020-04-13,2.49720000,2.76390000,2.33180000,2.59800000,68054178.13000000,2020-04-13
2020-04-20,2.59720000,2.80880000,2.43630000,2.73750000,65566364.35000000,2020-04-20
2020-04-27,2.73750000,3.11870000,2.68010000,2.83870000,87936548.96000000,2020-04-27
2020-05-04,2.83840000,2.84560000,2.27790000,2.44340000,78496069.07000000,2020-05-04
2020-05-11,2.44350000,2.68370000,2.26700000,2.62050000,67213798.93000000,2020-05-11
2020-05-18,2.62000000,2.74860000,2.40590000,2.48790000,62062384.56000000,2020-05-18
2020-05-25,2.48870000,2.78060000,2.44750000,2.67310000,43230642.13000000,2020-05-25
2020-06-01,2.67220000,2.89390000,2.57500000,2.80980000,60587969.73000000,2020-06-01
2020-06-08,2.81010000,2.81740000,2.42510000,2.56810000,43552849.77000000,2020-06-08
2020-06-15,2.56800000,2.60670000,2.41000000,2.51400000,36044189.65000000,2020-06-15
2020-06-22,2.51370000,2.60500000,2.19450000,2.36680000,43274305.27000000,2020-06-22
2020-06-29,2.36650000,2.49750000,2.30300000,2.40720000,44126205.87000000,2020-06-29
2020-07-06,2.40730000,2.72690000,2.40020000,2.61710000,59911210.71000000,2020-07-06
2020-07-13,2.61730000,2.64640000,2.43010000,2.58450000,40754844.04000000,2020-07-13
2020-07-20,2.58480000,2.80160000,2.53230000,2.71210000,57990397.88000000,2020-07-20
2020-07-27,2.71170000,3.49210000,2.54350000,2.94410000,132283324.41000000,2020-07-27
