Open Time,Open,High,Low,Close,Volume,Close Time
2020-10-12,10.00000000,430.00000000,10.00000000,32.40490000,4047046.54000000,2020-10-12
2020-10-19,32.35690000,39.77770000,20.60230000,38.66630000,5387902.82000000,2020-10-19
2020-10-26,38.78260000,40.89390000,28.13060000,31.60760000,4767983.36000000,2020-10-26
2020-11-02,31.56450000,33.32490000,27.90810000,30.75880000,5466249.88000000,2020-11-02
2020-11-09,30.75880000,32.39920000,27.44130000,27.73060000,4016613.89000000,2020-11-09
2020-11-16,27.73060000,31.14520000,27.18390000,28.93820000,5010444.30000000,2020-11-16
2020-11-23,28.92790000,35.31220000,28.73140000,30.00180000,6684981.98000000,2020-11-23
2020-11-30,30.01930000,31.97690000,28.91730000,29.32470000,3923320.67000000,2020-11-30
2020-12-07,29.32520000,34.00000000,29.27440000,29.99000000,6906883.98000000,2020-12-07
2020-12-14,29.98430000,30.15570000,27.82200000,28.38910000,3524943.04000000,2020-12-14
2020-12-21,28.38970000,28.39670000,21.21260000,22.23600000,6992309.32000000,2020-12-21
2020-12-28,22.23730000,26.20000000,19.95900000,21.42530000,8922694.18000000,2020-12-28
2021-01-04,21.43980000,24.34420000,20.88880000,23.42510000,8160939.09000000,2021-01-04
2021-01-11,23.41360000,26.12970000,20.91580000,24.34420000,9936069.77000000,2021-01-11
2021-01-18,24.33550000,24.92710000,20.71760000,22.70270000,10316904.80000000,2021-01-18
2021-01-25,22.70290000,23.03620000,21.19300000,22.24880000,5964344.48000000,2021-01-25
2021-02-01,22.24900000,25.61160000,22.01000000,24.04750000,9421409.72000000,2021-02-01
2021-02-08,24.03990000,53.00000000,23.81900000,47.12500000,36397329.50000000,2021-02-08
2021-02-15,47.13320000,50.66770000,36.05000000,44.64680000,20815393.36000000,2021-02-15
2021-02-22,44.62160000,44.83500000,31.42040000,35.96520000,15443518.41000000,2021-02-22
2021-03-01,35.96770000,45.00000000,35.50000000,41.39430000,9938191.63000000,2021-03-01
2021-03-08,41.40990000,57.37070000,40.42850000,53.80010000,12280880.14000000,2021-03-08
2021-03-15,53.78350000,96.66590000,50.71440000,80.65100000,26949089.96000000,2021-03-15
2021-03-22,80.65200000,139.66720000,73.36270000,125.26370000,25395715.66000000,2021-03-22
2021-03-29,125.26330000,238.20330000,123.74020000,182.74380000,34070118.65000000,2021-03-29
2021-04-05,182.85480000,189.00000000,135.55260000,179.09790000,14518031.66000000,2021-04-05
2021-04-12,179.07890000,195.69620000,130.00000000,156.32780000,16197156.89000000,2021-04-12
2021-04-19,156.29450000,164.81860000,130.00000000,134.04000000,8923574.45690000,2021-04-19
2021-04-26,134.04000000,168.00000000,133.47000000,162.46000000,7070648.13680000,2021-04-26
2021-05-03,162.46000000,165.63000000,135.10000000,146.50000000,7840770.88410000,2021-05-03
2021-05-10,146.51000000,149.33000000,87.26000000,107.81000000,12960840.43300000,2021-05-10
2021-05-17,107.79000000,107.88000000,55.00000000,64.88000000,27647487.75590000,2021-05-17
2021-05-24,64.87000000,79.76000000,62.24000000,68.34000000,18323606.50350000,2021-05-24
2021-05-31,68.34000000,97.99000000,66.28000000,86.99000000,20872361.25640000,2021-05-31
2021-06-07,86.98000000,92.10000000,66.00000000,73.13000000,17801981.41020000,2021-06-07
2021-06-14,73.11000000,77.72000000,59.92000000,63.20000000,10293143.30350000,2021-06-14
2021-06-21,63.19000000,63.73000000,42.53000000,56.20000000,23741523.99230000,2021-06-21
2021-06-28,56.19000000,66.31000000,54.88000000,58.72000000,14866564.58520000,2021-06-28
2021-07-05,58.72000000,58.72000000,52.71000000,55.12000000,6690945.60880000,2021-07-05
2021-07-12,55.11000000,55.49000000,45.12000000,46.83000000,7224289.48870000,2021-07-12
2021-07-19,46.82000000,51.34000000,40.08000000,49.01000000,11662577.22720000,2021-07-19
2021-07-26,49.01000000,58.35000000,47.29000000,53.85000000,17173769.79630000,2021-07-26
2021-08-02,53.85000000,70.84000000,52.72000000,64.48000000,18030465.51590000,2021-08-02
2021-08-09,64.49000000,75.59000000,61.42000000,73.06000000,20351156.76600000,2021-08-09
2021-08-16,73.06000000,79.29000000,66.00000000,77.17000000,17938990.73850000,2021-08-16
2021-08-23,77.16000000,82.48000000,70.33000000,73.63000000,16599738.88460000,2021-08-23
2021-08-30,73.62000000,120.17000000,70.43000000,113.65000000,25111539.87370000,2021-08-30
2021-09-06,113.64000000,118.50000000,71.20000000,83.63000000,48432105.54000000,2021-09-06
2021-09-13,83.63000000,90.64000000,72.72000000,83.53000000,22263524.67000000,2021-09-13
2021-09-20,83.54000000,83.69000000,50.00000000,55.77000000,47818550.40650000,2021-09-20
2021-09-27,55.78000000,73.98000000,54.71000000,69.11000000,37289740.10940000,2021-09-27
2021-10-04,69.10000000,81.22000000,65.66000000,69.81000000,33454780.12000000,2021-10-04
2021-10-11,69.82000000,74.82000000,60.70000000,63.86000000,30314439.19000000,2021-10-11
2021-10-18,63.86000000,68.20000000,61.23000000,62.59000000,20703331.88000000,2021-10-18
2021-10-25,62.60000000,66.76000000,52.00000000,64.40000000,27548956.70000000,2021-10-25
2021-11-01,64.41000000,66.46000000,58.00000000,62.56000000,20876192.09000000,2021-11-01
2021-11-08,62.56000000,69.64000000,58.53000000,62.55000000,29188436.42000000,2021-11-08
2021-11-15,62.54000000,63.42000000,48.53000000,53.15000000,38439021.26330000,2021-11-15
2021-11-22,53.16000000,59.49000000,48.62000000,56.46000000,38361246.17000000,2021-11-22
2021-11-29,56.46000000,57.20000000,32.67000000,39.10000000,47325646.26130000,2021-11-29
