Open Time,Open,High,Low,Close,Volume,Close Time
2019-01-14,0.53550000,0.53550000,0.45900000,0.48340000,5152746.01000000,2019-01-14
2019-01-21,0.48390000,0.56560000,0.42290000,0.43030000,10296472.88000000,2019-01-21
2019-01-28,0.43100000,0.46380000,0.35040000,0.39630000,17103877.02000000,2019-01-28
2019-02-04,0.39590000,0.48440000,0.38670000,0.44990000,10017516.64000000,2019-02-04
2019-02-11,0.44950000,0.47970000,0.41760000,0.46040000,7093184.89000000,2019-02-11
2019-02-18,0.46150000,0.48230000,0.39750000,0.40500000,9560505.14000000,2019-02-18
2019-02-25,0.40470000,0.47490000,0.40070000,0.42050000,6592754.22000000,2019-02-25
2019-03-04,0.42030000,0.54600000,0.39290000,0.49810000,12365613.39000000,2019-03-04
2019-03-11,0.49820000,0.51810000,0.43820000,0.47850000,11420920.26000000,2019-03-11
2019-03-18,0.47890000,0.48990000,0.43420000,0.45310000,5067199.50000000,2019-03-18
2019-03-25,0.45390000,0.54100000,0.44100000,0.50840000,9967677.74000000,2019-03-25
2019-04-01,0.50840000,0.60730000,0.50070000,0.57730000,16066248.75000000,2019-04-01
2019-04-08,0.57760000,0.59120000,0.45300000,0.52250000,9052672.54000000,2019-04-08
2019-04-15,0.52590000,0.53900000,0.47520000,0.49630000,5904637.02000000,2019-04-15
2019-04-22,0.49630000,0.51700000,0.42640000,0.45100000,5740900.43000000,2019-04-22
2019-04-29,0.45100000,0.52380000,0.42400000,0.50580000,3930832.62000000,2019-04-29
2019-05-06,0.50580000,0.74840000,0.49010000,0.65860000,16427889.02000000,2019-05-06
2019-05-13,0.66070000,1.05000000,0.63320000,0.99340000,30447356.95000000,2019-05-13
2019-05-20,0.99270000,1.47400000,0.94600000,1.08280000,45877449.79000000,2019-05-20
2019-05-27,1.08020000,1.35000000,0.90090000,1.01550000,42896059.05000000,2019-05-27
2019-06-03,1.01550000,1.27000000,0.83680000,1.05950000,41570930.07000000,2019-06-03
2019-06-10,1.05950000,1.97000000,1.03010000,1.66210000,95475045.37000000,2019-06-10
2019-06-17,1.66510000,2.07760000,1.61000000,1.81690000,61196501.24000000,2019-06-17
2019-06-24,1.81690000,4.58260000,1.79000000,3.38850000,151650989.58000000,2019-06-24
2019-07-01,3.38850000,3.99140000,2.92660000,3.27500000,94072792.60000000,2019-07-01
2019-07-08,3.27500000,3.57310000,2.60000000,2.78560000,60391225.90000000,2019-07-08
2019-07-15,2.77920000,2.84980000,2.05310000,2.53190000,55501427.66000000,2019-07-15
2019-07-22,2.53190000,2.58570000,2.10000000,2.21560000,26639932.76000000,2019-07-22
2019-07-29,2.21780000,2.73420000,1.96940000,2.50990000,38442202.70000000,2019-07-29
2019-08-05,2.50970000,2.64950000,2.13060000,2.41500000,29061341.98000000,2019-08-05
2019-08-12,2.41650000,2.60310000,2.16300000,2.50510000,24694874.27000000,2019-08-12
2019-08-19,2.50550000,2.60000000,2.02550000,2.07800000,24279896.09000000,2019-08-19
2019-08-26,2.07830000,2.17880000,1.71700000,1.76860000,18553879.08000000,2019-08-26
2019-09-02,1.76960000,1.94240000,1.67670000,1.82750000,21669699.00000000,2019-09-02
2019-09-09,1.82900000,1.87310000,1.51000000,1.61040000,27062723.79000000,2019-09-09
2019-09-16,1.61100000,1.90750000,1.54500000,1.81570000,34392612.77000000,2019-09-16
2019-09-23,1.81490000,2.06570000,1.46120000,1.70020000,45049517.26000000,2019-09-23
2019-09-30,1.70040000,2.26590000,1.64040000,2.16690000,35895591.91000000,2019-09-30
2019-10-07,2.16690000,2.95000000,2.09710000,2.48600000,89160733.14000000,2019-10-07
2019-10-14,2.48500000,2.67410000,2.18200000,2.44440000,50770025.73000000,2019-10-14
2019-10-21,2.44430000,3.00630000,2.37170000,2.66460000,79723113.20000000,2019-10-21
2019-10-28,2.67070000,2.88590000,2.51070000,2.66050000,26919966.17000000,2019-10-28
2019-11-04,2.65940000,2.84970000,2.60220000,2.77700000,21183749.06000000,2019-11-04
2019-11-11,2.77730000,3.16000000,2.66550000,2.91000000,27759112.11000000,2019-11-11
2019-11-18,2.91000000,2.96100000,2.10000000,2.22160000,36315905.89000000,2019-11-18
2019-11-25,2.22180000,2.39760000,2.02000000,2.16380000,38938003.50000000,2019-11-25
2019-12-02,2.16340000,2.18910000,1.95830000,2.05280000,27682897.30000000,2019-12-02
2019-12-09,2.05200000,2.30420000,1.96060000,2.07080000,29484542.63000000,2019-12-09
2019-12-16,2.07220000,2.08730000,1.59960000,1.91810000,32089757.54000000,2019-12-16
2019-12-23,1.91670000,1.96040000,1.76000000,1.89760000,14465349.63000000,2019-12-23
2019-12-30,1.89800000,1.89800000,1.70130000,1.79570000,9874082.08000000,2019-12-30
2020-01-06,1.79540000,2.34950000,1.79250000,2.23830000,38507527.04000000,2020-01-06
2020-01-13,2.23820000,2.86000000,2.15610000,2.62120000,43774433.88000000,2020-01-13
2020-01-20,2.62070000,2.74430000,2.36380000,2.57640000,21811771.75000000,2020-01-20
2020-01-27,2.57640000,2.94820000,2.56560000,2.82670000,27680956.13000000,2020-01-27
2020-02-03,2.82250000,3.49840000,2.67510000,3.49450000,47303014.28000000,2020-02-03
2020-02-10,3.49270000,4.86710000,3.28060000,4.45660000,88593905.72000000,2020-02-10
2020-02-17,4.45630000,4.83550000,3.84490000,4.23650000,72961722.41000000,2020-02-17
2020-02-24,4.23660000,4.35350000,3.31130000,3.85900000,108025192.02000000,2020-02-24
2020-03-02,3.86220000,4.97620000,3.81730000,4.05370000,94538006.88000000,2020-03-02
2020-03-09,4.05370000,4.36900000,0.00010000,2.08840000,258732212.92000000,2020-03-09
2020-03-16,2.08680000,2.62490000,1.55710000,1.98980000,216249995.34000000,2020-03-16
2020-03-23,1.98890000,2.37090000,1.93520000,2.00830000,86297773.88000000,2020-03-23
2020-03-30,2.00830000,2.48500000,2.00060000,2.26350000,61590562.51000000,2020-03-30
2020-04-06,2.26380000,3.64120000,2.26210000,3.41890000,213475765.93000000,2020-04-06
2020-04-13,3.41170000,3.83000000,2.97610000,3.59020000,132467791.75000000,2020-04-13
2020-04-20,3.58850000,3.91010000,3.37200000,3.72100000,82933397.71000000,2020-04-20
2020-04-27,3.72120000,3.99180000,3.46210000,3.70920000,65543953.81000000,2020-04-27
2020-05-04,3.70980000,4.21290000,3.46020000,3.75820000,71928135.87000000,2020-05-04
2020-05-11,3.75740000,3.85830000,3.28650000,3.78150000,47649349.95000000,2020-05-11
2020-05-18,3.78150000,4.17400000,3.72920000,3.79170000,49083074.44000000,2020-05-18
2020-05-25,3.78780000,4.28380000,3.76890000,4.13100000,32456740.14000000,2020-05-25
2020-06-01,4.12780000,4.61850000,4.10750000,4.34650000,30173495.08000000,2020-06-01
2020-06-08,4.34870000,4.50620000,3.85730000,3.93710000,21332823.51000000,2020-06-08
2020-06-15,3.93950000,4.24910000,3.65510000,4.18120000,24299675.70000000,2020-06-15
2020-06-22,4.18190000,4.94220000,4.17600000,4.56680000,49278062.49000000,2020-06-22
2020-06-29,4.56580000,4.91810000,4.42320000,4.74390000,30690438.52000000,2020-06-29
2020-07-06,4.74260000,7.38980000,4.73620000,7.33450000,89930411.67000000,2020-07-06
2020-07-13,7.34470000,8.90800000,6.85250000,8.07840000,124156443.37000000,2020-07-13
2020-07-20,8.08480000,8.13880000,6.92320000,7.50220000,67957045.61000000,2020-07-20
2020-07-27,7.50090000,8.79720000,6.51010000,8.28140000,79326434.43000000,2020-07-27
2020-08-03,8.28510000,14.45860000,8.14080000,13.81040000,118898520.97000000,2020-08-03
2020-08-10,13.81050000,20.11110000,12.09050000,18.80610000,129536695.28000000,2020-08-10
2020-08-17,18.80960000,19.71110000,12.89000000,15.14280000,123770760.07000000,2020-08-17
2020-08-24,15.15720000,17.77770000,13.45780000,16.47880000,76195208.92000000,2020-08-24
2020-08-31,16.47820000,16.94950000,9.10000000,12.80440000,112836816.55000000,2020-08-31
2020-09-07,12.80600000,13.28000000,11.02840000,12.06700000,86667009.61000000,2020-09-07
2020-09-14,12.07570000,12.38630000,9.50000000,9.73570000,62757220.09000000,2020-09-14
2020-09-21,9.73940000,11.19900000,7.28690000,10.79390000,111609042.75000000,2020-09-21
2020-09-28,10.80000000,11.07000000,8.79750000,9.39220000,59130809.80000000,2020-09-28
2020-10-05,9.39060000,11.02580000,8.38170000,10.85150000,61053576.88000000,2020-10-05
2020-10-12,10.85150000,11.80280000,10.26940000,10.94090000,49983734.34000000,2020-10-12
2020-10-19,10.94350000,12.95000000,9.76650000,12.14810000,53484473.40000000,2020-10-19
2020-10-26,12.14800000,12.47740000,10.72000000,11.57220000,49845962.84000000,2020-10-26
2020-11-02,11.56810000,13.59560000,9.75000000,12.71000000,84960100.02000000,2020-11-02
2020-11-09,12.70830000,13.42930000,11.81560000,12.11920000,61972590.30000000,2020-11-09
2020-11-16,12.11990000,15.71790000,11.99710000,14.50980000,84907149.53000000,2020-11-16
2020-11-23,14.50980000,16.39000000,11.29390000,13.38000000,85193361.99000000,2020-11-23
2020-11-30,13.38550000,14.83280000,12.51010000,13.50570000,45051511.92000000,2020-11-30
2020-12-07,13.50900000,13.55360000,11.43000000,12.93920000,34195532.89000000,2020-12-07
2020-12-14,12.93890000,14.50380000,12.31190000,13.06040000,41372148.19000000,2020-12-14
2020-12-21,13.06030000,13.27000000,8.05000000,12.15410000,77371018.18000000,2020-12-21
2020-12-28,12.15420000,13.99990000,10.81610000,13.68140000,72398808.39000000,2020-12-28
2021-01-04,13.68150000,18.43860000,12.37130000,16.20600000,120695967.55000000,2021-01-04
2021-01-11,16.19980000,23.76700000,12.50000000,23.28190000,147128289.65000000,2021-01-11
2021-01-18,23.26760000,25.50000000,17.12690000,24.79350000,99838774.35000000,2021-01-18
2021-01-25,24.79120000,25.78240000,20.27670000,22.56130000,70286045.89000000,2021-01-25
2021-02-01,22.56430000,27.00000000,21.65260000,24.72540000,53622889.29000000,2021-02-01
2021-02-08,24.73350000,35.69450000,23.95870000,33.15650000,65112371.03000000,2021-02-08
2021-02-15,33.15550000,36.93070000,27.50000000,34.09150000,52710922.03000000,2021-02-15
2021-02-22,34.09160000,34.21850000,20.80880000,24.70160000,81726911.84000000,2021-02-22
2021-03-01,24.69540000,31.43000000,24.57580000,28.59320000,49934593.44000000,2021-03-01
2021-03-08,28.59180000,32.00000000,26.93260000,28.54690000,36041117.52000000,2021-03-08
2021-03-15,28.53100000,31.43250000,26.39750000,29.20970000,31742683.59000000,2021-03-15
2021-03-22,29.21170000,29.44440000,23.61000000,26.65880000,26021857.83000000,2021-03-22
2021-03-29,26.65760000,33.17070000,26.18000000,30.74710000,28880692.51000000,2021-03-29
2021-04-05,30.74730000,35.12000000,29.61790000,33.88110000,36557165.52000000,2021-04-05
2021-04-12,33.88110000,44.33000000,28.80000000,39.07990000,69477395.07000000,2021-04-12
2021-04-19,39.08580000,41.99000000,29.80100000,31.69200000,73908888.59300000,2021-04-19
2021-04-26,31.69000000,41.46000000,31.36300000,39.46100000,38222179.36900000,2021-04-26
2021-05-03,39.46100000,52.42600000,38.63400000,52.26900000,77539254.63100000,2021-05-03
2021-05-10,52.27700000,53.00000000,37.94400000,40.67000000,64263918.58100000,2021-05-10
2021-05-17,40.66200000,44.69000000,15.00000000,19.84400000,130881295.71800000,2021-05-17
2021-05-24,19.84900000,35.33400000,19.67700000,26.81800000,104694525.54300000,2021-05-24
2021-05-31,26.81300000,32.85600000,25.55500000,27.53200000,57894803.76700000,2021-05-31
2021-06-07,27.53000000,28.69300000,20.00000000,23.31200000,64535154.60900000,2021-06-07
2021-06-14,23.31400000,26.45800000,19.07700000,21.64600000,47741194.77100000,2021-06-14
2021-06-21,21.64100000,21.88100000,15.00000000,18.40600000,79154452.58400000,2021-06-21
2021-06-28,18.40700000,20.54600000,17.25600000,19.24200000,42771313.91400000,2021-06-28
2021-07-05,19.23800000,21.27400000,17.61700000,18.38300000,40958626.98400000,2021-07-05
2021-07-12,18.38200000,18.60900000,15.02000000,15.47000000,33476497.76900000,2021-07-12
2021-07-19,15.47500000,17.13200000,13.38400000,16.74600000,43216407.89400000,2021-07-19
2021-07-26,16.74500000,23.94000000,16.66200000,22.06200000,63559246.41400000,2021-07-26
2021-08-02,22.06500000,25.15700000,21.40100000,23.02900000,50892360.15500000,2021-08-02
2021-08-09,23.02600000,27.98300000,22.07200000,27.90100000,42074192.57500000,2021-08-09
2021-08-16,27.90100000,30.51000000,24.47900000,27.98200000,51848796.17000000,2021-08-16
2021-08-23,27.98100000,29.30000000,23.88000000,25.76000000,35561782.13500000,2021-08-23
2021-08-30,25.77000000,33.61000000,24.30000000,33.55000000,44540295.28700000,2021-08-30
2021-09-06,33.54000000,36.33000000,23.79000000,29.42000000,78940836.51400000,2021-09-06
2021-09-13,29.42000000,32.11000000,25.17000000,27.36000000,58774686.29000000,2021-09-13
2021-09-20,27.37000000,27.43000000,20.82000000,24.60000000,67620474.21300000,2021-09-20
2021-09-27,24.59000000,28.16000000,22.00000000,27.57000000,40055989.51000000,2021-09-27
2021-10-04,27.56000000,28.19000000,25.20000000,25.56000000,37280101.73000000,2021-10-04
2021-10-11,25.55000000,28.70000000,23.53000000,26.54000000,42073680.82000000,2021-10-11
2021-10-18,26.54000000,31.53000000,25.26000000,29.70000000,43769781.11000000,2021-10-18
2021-10-25,29.71000000,33.91000000,27.91000000,30.00000000,46754287.64000000,2021-10-25
2021-11-01,30.00000000,33.71000000,29.14000000,32.34000000,32317434.48000000,2021-11-01
2021-11-08,32.34000000,38.31000000,31.90000000,33.75000000,45183448.83500000,2021-11-08
2021-11-15,33.75000000,34.50000000,25.82000000,28.98000000,40017542.86000000,2021-11-15
2021-11-22,29.00000000,29.09000000,22.63000000,24.76000000,39276931.08000000,2021-11-22
2021-11-29,24.76000000,26.90000000,15.32000000,19.48000000,53054864.54600000,2021-11-29
2021-12-06,19.49000000,23.20000000,17.21000000,20.41000000,51869164.80000000,2021-12-06
2021-12-13,20.41000000,20.56000000,17.26000000,18.86000000,40411783.28000000,2021-12-13
2021-12-20,18.86000000,23.58000000,18.04000000,22.98000000,36714721.63000000,2021-12-20
2021-12-27,22.99000000,24.49000000,19.04000000,21.87000000,42653513.40000000,2021-12-27
2022-01-03,21.86000000,28.68000000,21.25000000,27.54000000,116442862.07000000,2022-01-03
2022-01-10,27.54000000,28.71000000,23.91000000,25.50000000,65270932.21000000,2022-01-10
2022-01-17,25.51000000,25.62000000,14.24000000,16.64000000,63763653.94300000,2022-01-17
2022-01-24,16.63000000,18.10000000,13.48000000,17.77000000,58528708.06900000,2022-01-24
