Open Time,Open,High,Low,Close,Volume,Close Time
2019-05-27,0.01500000,0.02848000,0.01091000,0.02104000,10369950585.90000000,2019-05-27
2019-06-03,0.02104000,0.03079000,0.01959000,0.02426000,12198162451.00000000,2019-06-03
2019-06-10,0.02425000,0.02588000,0.01961000,0.02160000,3595961014.80000000,2019-06-10
2019-06-17,0.02160000,0.02478000,0.02022000,0.02110000,3073482666.30000000,2019-06-17
2019-06-24,0.02115000,0.02286000,0.01674000,0.01922000,2967568120.50000000,2019-06-24
2019-07-01,0.01920000,0.02056000,0.01502000,0.01597000,1813013551.40000000,2019-07-01
2019-07-08,0.01593000,0.01688000,0.01179000,0.01285000,2231368992.70000000,2019-07-08
2019-07-15,0.01283000,0.01450000,0.01121000,0.01255000,1360227945.80000000,2019-07-15
2019-07-22,0.01254000,0.01288000,0.01024000,0.01071000,699536955.10000000,2019-07-22
2019-07-29,0.01071000,0.01123000,0.00950000,0.00965000,773079901.80000000,2019-07-29
2019-08-05,0.00964000,0.01465000,0.00936000,0.01123000,2843248831.60000000,2019-08-05
2019-08-12,0.01123000,0.01210000,0.00952000,0.01088000,871785517.80000000,2019-08-12
2019-08-19,0.01090000,0.01273000,0.00983000,0.01008000,1067607195.30000000,2019-08-19
2019-08-26,0.01008000,0.01049000,0.00811000,0.00835000,523773619.30000000,2019-08-26
2019-09-02,0.00835000,0.00934000,0.00835000,0.00875000,495105389.90000000,2019-09-02
2019-09-09,0.00875000,0.00909000,0.00745000,0.00763000,284451252.30000000,2019-09-09
2019-09-16,0.00767000,0.00840000,0.00693000,0.00724000,437820009.30000000,2019-09-16
2019-09-23,0.00721000,0.00726000,0.00461000,0.00508000,526809477.10000000,2019-09-23
2019-09-30,0.00509000,0.00536000,0.00470000,0.00495000,326673596.90000000,2019-09-30
2019-10-07,0.00493000,0.00705000,0.00480000,0.00608000,970759103.60000000,2019-10-07
2019-10-14,0.00608000,0.00668000,0.00538000,0.00562000,495708657.10000000,2019-10-14
2019-10-21,0.00560000,0.00591000,0.00472000,0.00518000,626285864.30000000,2019-10-21
2019-10-28,0.00518000,0.00581000,0.00494000,0.00553000,496892095.40000000,2019-10-28
2019-11-04,0.00550000,0.00646000,0.00538000,0.00575000,778625033.70000000,2019-11-04
2019-11-11,0.00576000,0.00630000,0.00520000,0.00590000,505422100.90000000,2019-11-11
2019-11-18,0.00590000,0.00603000,0.00451000,0.00531000,495897615.90000000,2019-11-18
2019-11-25,0.00530000,0.00666000,0.00503000,0.00545000,1370144643.10000000,2019-11-25
2019-12-02,0.00545000,0.00852000,0.00518000,0.00759000,2279917488.20000000,2019-12-02
2019-12-09,0.00759000,0.00790000,0.00462000,0.00494000,1695301860.50000000,2019-12-09
2019-12-16,0.00495000,0.00525000,0.00390000,0.00511000,752940837.80000000,2019-12-16
2019-12-23,0.00511000,0.00540000,0.00460000,0.00479000,500071117.70000000,2019-12-23
2019-12-30,0.00478000,0.00493000,0.00444000,0.00466000,356266643.90000000,2019-12-30
