Open Time,Open,High,Low,Close,Volume,Close Time
2020-08-31,0.70630000,1.30000000,0.55020000,0.78100000,11097005.07000000,2020-08-31
2020-09-07,0.77770000,0.82520000,0.62220000,0.70640000,20142944.51000000,2020-09-07
2020-09-14,0.70820000,0.71380000,0.43500000,0.45150000,30885305.39000000,2020-09-14
2020-09-21,0.45300000,0.63650000,0.32240000,0.63160000,40696873.19000000,2020-09-21
2020-09-28,0.63140000,0.63630000,0.40400000,0.45430000,31392942.42000000,2020-09-28
2020-10-05,0.45430000,0.58120000,0.35000000,0.53840000,36683352.81000000,2020-10-05
2020-10-12,0.53870000,0.63000000,0.48910000,0.57010000,36442722.59000000,2020-10-12
2020-10-19,0.57080000,0.58910000,0.45890000,0.46590000,16336569.10000000,2020-10-19
2020-10-26,0.46620000,0.50500000,0.36640000,0.39530000,22108800.88000000,2020-10-26
2020-11-02,0.39540000,0.58840000,0.34750000,0.58050000,31273742.12000000,2020-11-02
2020-11-09,0.58030000,0.98670000,0.54700000,0.88350000,60903187.09000000,2020-11-09
2020-11-16,0.88310000,1.05000000,0.75740000,0.84850000,65850584.74000000,2020-11-16
2020-11-23,0.84990000,1.01810000,0.63200000,0.83000000,43448747.07000000,2020-11-23
2020-11-30,0.83070000,1.13900000,0.81180000,0.98150000,41974580.37000000,2020-11-30
2020-12-07,0.98570000,1.01670000,0.76100000,0.89890000,35030951.59000000,2020-12-07
2020-12-14,0.89970000,1.12000000,0.86500000,0.97840000,32409642.84000000,2020-12-14
2020-12-21,0.97880000,1.01720000,0.81040000,0.89730000,34532100.78000000,2020-12-21
2020-12-28,0.89730000,1.52000000,0.88590000,1.48390000,54170617.93000000,2020-12-28
2021-01-04,1.48860000,1.66080000,1.16800000,1.45940000,47016556.88000000,2021-01-04
2021-01-11,1.45930000,2.18100000,1.12000000,1.95330000,52665757.32000000,2021-01-11
2021-01-18,1.95840000,2.64000000,1.55390000,2.59630000,39850503.87000000,2021-01-18
2021-01-25,2.59860000,4.03860000,2.17510000,3.61100000,46637507.55000000,2021-01-25
2021-02-01,3.61120000,4.32900000,3.01640000,3.79000000,44330424.89000000,2021-02-01
2021-02-08,3.79040000,5.01440000,3.52330000,3.96420000,41173638.94000000,2021-02-08
2021-02-15,3.96770000,5.77000000,3.33880000,4.77490000,44036924.10000000,2021-02-15
2021-02-22,4.77680000,5.70000000,3.05000000,4.35000000,49779230.75000000,2021-02-22
2021-03-01,4.35800000,6.20000000,4.34610000,5.69460000,27274974.72000000,2021-03-01
2021-03-08,5.69040000,6.76600000,5.35000000,5.55000000,20582985.64000000,2021-03-08
2021-03-15,5.55350000,6.04000000,5.21580000,5.63010000,15075054.38000000,2021-03-15
2021-03-22,5.63380000,6.49990000,4.50000000,6.15850000,21277867.59000000,2021-03-22
2021-03-29,6.15700000,10.42000000,6.12040000,10.35750000,30052025.26000000,2021-03-29
2021-04-05,10.34280000,13.00000000,8.84320000,11.00520000,31085710.76000000,2021-04-05
2021-04-12,11.00620000,17.06110000,10.44960000,16.60830000,45309974.65000000,2021-04-12
2021-04-19,16.56290000,16.85880000,10.64400000,11.51200000,40194534.82700000,2021-04-19
2021-04-26,11.52400000,16.16610000,11.32700000,14.54300000,26620939.89100000,2021-04-26
2021-05-03,14.54300000,19.30000000,14.53100000,17.90500000,30477590.77200000,2021-05-03
2021-05-10,17.91600000,20.95000000,15.72600000,19.45000000,30528076.93200000,2021-05-10
2021-05-17,19.45100000,21.28000000,6.00000000,7.77000000,93570756.50300000,2021-05-17
2021-05-24,7.77600000,14.87800000,7.67600000,11.03600000,82794001.18100000,2021-05-24
2021-05-31,11.01700000,13.72200000,10.18600000,10.81300000,38746402.72000000,2021-05-31
2021-06-07,10.79700000,11.25800000,6.60000000,8.32800000,56552879.81800000,2021-06-07
2021-06-14,8.33600000,10.50000000,6.88000000,8.35400000,52582343.91000000,2021-06-14
2021-06-21,8.35800000,8.47400000,4.48000000,6.10100000,95626366.21700000,2021-06-21
2021-06-28,6.10700000,7.16000000,5.55400000,6.25000000,53012091.06600000,2021-06-28
2021-07-05,6.24500000,7.69800000,5.78700000,6.28800000,49523973.38300000,2021-07-05
2021-07-12,6.29000000,6.70000000,3.96100000,4.09500000,52169862.31800000,2021-07-12
2021-07-19,4.09800000,4.82000000,3.01000000,3.50700000,143430269.49200000,2021-07-19
2021-07-26,3.50500000,6.76500000,3.49200000,5.98000000,158598171.07000000,2021-07-26
2021-08-02,5.98200000,8.40000000,5.77000000,6.69700000,95237811.55800000,2021-08-02
2021-08-09,6.70100000,8.77900000,6.40000000,8.41600000,77111147.37800000,2021-08-09
2021-08-16,8.41600000,11.73000000,7.80800000,10.58000000,75076775.89500000,2021-08-16
2021-08-23,10.58400000,12.47900000,9.19900000,9.89800000,54485024.42100000,2021-08-23
2021-08-30,9.89600000,10.96400000,9.21500000,10.35800000,37852715.39400000,2021-08-30
2021-09-06,10.35400000,12.08600000,7.50000000,9.10200000,51598213.57600000,2021-09-06
2021-09-13,9.10500000,11.29300000,7.78500000,9.10600000,33645797.80000000,2021-09-13
2021-09-20,9.10600000,9.25500000,6.46700000,7.23200000,45814266.20700000,2021-09-20
2021-09-27,7.22100000,9.06400000,6.35100000,8.74100000,31583878.47900000,2021-09-27
2021-10-04,8.74100000,9.28700000,7.44000000,7.49500000,26419196.40000000,2021-10-04
2021-10-11,7.49700000,8.49600000,6.84500000,7.75700000,20773654.20000000,2021-10-11
2021-10-18,7.75900000,12.48000000,7.09200000,12.41800000,46625337.01600000,2021-10-18
2021-10-25,12.42500000,15.00000000,11.06400000,14.85000000,37304031.81600000,2021-10-25
2021-11-01,14.83900000,17.27000000,13.25800000,14.03600000,29132525.92700000,2021-11-01
2021-11-08,14.03600000,14.22100000,11.71200000,12.63700000,24874780.10000000,2021-11-08
2021-11-15,12.63900000,13.30000000,9.23500000,10.84700000,26164217.80000000,2021-11-15
2021-11-22,10.86000000,13.52500000,9.90400000,11.17300000,30753639.00000000,2021-11-22
2021-11-29,11.18200000,11.64900000,6.16000000,7.84000000,29244535.81400000,2021-11-29
2021-12-06,7.84000000,8.37500000,6.38700000,7.11700000,27528285.00000000,2021-12-06
2021-12-13,7.11100000,7.23800000,5.76400000,6.16800000,20465971.71100000,2021-12-13
2021-12-20,6.16700000,8.17900000,5.84400000,7.77100000,23037556.60000000,2021-12-20
2021-12-27,7.78100000,8.87600000,6.62800000,7.38500000,21124081.90000000,2021-12-27
2022-01-03,7.38200000,8.28600000,5.78100000,6.21000000,30163394.50000000,2022-01-03
2022-01-10,6.20900000,7.12700000,5.46600000,6.29600000,23384584.01500000,2022-01-10
2022-01-17,6.29000000,6.31800000,3.54400000,3.93100000,36981612.83600000,2022-01-17
2022-01-24,3.92600000,4.60000000,3.25700000,4.01600000,29917275.17400000,2022-01-24
2022-01-31,4.01600000,5.06900000,3.69300000,4.86900000,25687033.30000000,2022-01-31
2022-02-07,4.86800000,5.22300000,3.86900000,3.91700000,24413954.80000000,2022-02-07
2022-02-14,3.91700000,4.67000000,3.72100000,3.80400000,18187424.60000000,2022-02-14
2022-02-21,3.81100000,3.99900000,3.01500000,3.47900000,23889111.14500000,2022-02-21
2022-02-28,3.48000000,6.05900000,3.38700000,4.69500000,87589608.20000000,2022-02-28
2022-03-07,4.69200000,6.75000000,4.01500000,6.36700000,102264812.50000000,2022-03-07
2022-03-14,6.36500000,9.59000000,6.27300000,8.60100000,114316177.10000000,2022-03-14
2022-03-21,8.60300000,10.96400000,7.90200000,10.40200000,64854065.40000000,2022-03-21
2022-03-28,10.40200000,13.20300000,9.92500000,11.21100000,66418104.80000000,2022-03-28
2022-04-04,11.21200000,11.98000000,8.55600000,8.90800000,48180788.40000000,2022-04-04
