Open Time,Open,High,Low,Close,Volume,Close Time
2020-07-06,2.89300000,3.39800000,2.65400000,2.78000000,1704099.28200000,2020-07-06
2020-07-13,2.78000000,3.60000000,2.38400000,3.29700000,3979045.83600000,2020-07-13
2020-07-20,3.29900000,4.19900000,3.00000000,3.15500000,4576332.39300000,2020-07-20
2020-07-27,3.15400000,4.43700000,2.67000000,4.26600000,6688878.17100000,2020-07-27
2020-08-03,4.26600000,4.74000000,3.89000000,4.24100000,3783138.37400000,2020-08-03
2020-08-10,4.24300000,7.46000000,4.17000000,6.40500000,11931589.42200000,2020-08-10
2020-08-17,6.39800000,6.87500000,5.10600000,5.67800000,9189812.73000000,2020-08-17
2020-08-24,5.68800000,7.41500000,5.50000000,7.30100000,9870189.59900000,2020-08-24
2020-08-31,7.30000000,7.88000000,3.65000000,4.95500000,12887760.38600000,2020-08-31
2020-09-07,4.95100000,6.28600000,4.02800000,5.38800000,8123761.76000000,2020-09-07
2020-09-14,5.38000000,5.54700000,4.07100000,4.19000000,8688574.22700000,2020-09-14
2020-09-21,4.18600000,5.49000000,3.46100000,5.15700000,9992758.01800000,2020-09-21
2020-09-28,5.15700000,5.49500000,3.97300000,4.38300000,5290546.73100000,2020-09-28
2020-10-05,4.38100000,4.50800000,3.48500000,4.17200000,5325736.28500000,2020-10-05
2020-10-12,4.17200000,4.79900000,3.72000000,3.95700000,3603313.92300000,2020-10-12
2020-10-19,3.96400000,4.09200000,3.34300000,3.65500000,3997413.99900000,2020-10-19
2020-10-26,3.66000000,3.84900000,2.71800000,2.90400000,4664486.06900000,2020-10-26
2020-11-02,2.90600000,4.68000000,2.47000000,4.40900000,10799378.61000000,2020-11-02
2020-11-09,4.41100000,4.94000000,3.71200000,4.12500000,11069454.92400000,2020-11-09
2020-11-16,4.13700000,5.70000000,4.06500000,5.00200000,11256158.60200000,2020-11-16
2020-11-23,5.00300000,5.83000000,3.38500000,4.55100000,11082036.96600000,2020-11-23
2020-11-30,4.56200000,5.48300000,4.53100000,5.15200000,8928047.99500000,2020-11-30
2020-12-07,5.15300000,5.49300000,4.12600000,4.75100000,7301302.76700000,2020-12-07
2020-12-14,4.74800000,6.61700000,4.60000000,5.96300000,14446462.48800000,2020-12-14
2020-12-21,5.95700000,8.77100000,5.63800000,8.06900000,25409057.57700000,2020-12-21
2020-12-28,8.05800000,9.62500000,7.04200000,9.53900000,11241777.27000000,2020-12-28
2021-01-04,9.52700000,14.80000000,8.40000000,14.11600000,16194162.26400000,2021-01-04
2021-01-11,14.11400000,17.15000000,10.40800000,15.68000000,20475172.27100000,2021-01-11
2021-01-18,15.67600000,17.83500000,11.26300000,17.50000000,11525487.27600000,2021-01-18
2021-01-25,17.48400000,19.60000000,14.71700000,17.19400000,13739509.18300000,2021-01-25
2021-02-01,17.19700000,24.24600000,16.37900000,20.05100000,15715547.45700000,2021-02-01
2021-02-08,20.09000000,28.98100000,19.52300000,25.02000000,14804546.14600000,2021-02-08
2021-02-15,25.04900000,26.91000000,21.00000000,22.82800000,10836688.48700000,2021-02-15
2021-02-22,22.83500000,22.92800000,13.90000000,18.72700000,12727480.97200000,2021-02-22
2021-03-01,18.71900000,24.39000000,18.71800000,21.73000000,6694005.97500000,2021-03-01
2021-03-08,21.72200000,23.39600000,18.80500000,19.39500000,5564054.76900000,2021-03-08
2021-03-15,19.39300000,21.47100000,17.81900000,19.52300000,4493479.14200000,2021-03-15
2021-03-22,19.52100000,20.02200000,15.41900000,16.46900000,4909805.56800000,2021-03-22
2021-03-29,16.46900000,21.64000000,16.28900000,20.64800000,6585347.31000000,2021-03-29
2021-04-05,20.64800000,22.43400000,18.30300000,18.98900000,5692097.08400000,2021-04-05
2021-04-12,18.97900000,23.12200000,14.79500000,18.01400000,10540171.89500000,2021-04-12
2021-04-19,18.00400000,18.28800000,12.99100000,14.12700000,8932257.25900000,2021-04-19
2021-04-26,14.12800000,18.61000000,13.97400000,17.33200000,6586363.58800000,2021-04-26
2021-05-03,17.33200000,20.51800000,16.19400000,17.80400000,12409384.07200000,2021-05-03
2021-05-10,17.79600000,23.14200000,15.18100000,18.86200000,30844761.77900000,2021-05-10
2021-05-17,18.86000000,25.83700000,9.40000000,11.74200000,39309643.12600000,2021-05-17
2021-05-24,11.75600000,15.10100000,10.27400000,11.75300000,9866353.31800000,2021-05-24
2021-05-31,11.75300000,14.08900000,11.17400000,11.91300000,5995984.11400000,2021-05-31
2021-06-07,11.90500000,12.33100000,7.91000000,9.13700000,12982347.82900000,2021-06-07
2021-06-14,9.13400000,10.46100000,7.74900000,8.47000000,8725913.86000000,2021-06-14
2021-06-21,8.47000000,8.53600000,5.55000000,6.42000000,11393617.30400000,2021-06-21
2021-06-28,6.41700000,8.96200000,6.32400000,8.59800000,8076391.25600000,2021-06-28
2021-07-05,8.59800000,12.89000000,8.37000000,12.42500000,41263889.04500000,2021-07-05
2021-07-12,12.42400000,13.65000000,8.67100000,8.88100000,23503130.38700000,2021-07-12
2021-07-19,8.87900000,8.95800000,7.14200000,8.38100000,13733459.31700000,2021-07-19
2021-07-26,8.38100000,10.47100000,8.34400000,9.45400000,19342253.30700000,2021-07-26
2021-08-02,9.44800000,11.10000000,8.82400000,9.69100000,19368556.26400000,2021-08-02
2021-08-09,9.68500000,13.49000000,9.30200000,12.84800000,17656059.06700000,2021-08-09
2021-08-16,12.84900000,14.53300000,10.75900000,13.51400000,16564843.10800000,2021-08-16
2021-08-23,13.51900000,14.35000000,11.05300000,11.64700000,13248180.37700000,2021-08-23
2021-08-30,11.64700000,13.12000000,10.90500000,12.93300000,14437450.94800000,2021-08-30
