Open Time,Open,High,Low,Close,Volume,Close Time
2018-04-30,0.50000000,1.50000000,0.50000000,0.86483000,53708414.92000000,2018-04-30
2018-05-07,0.86482000,0.86886000,0.62519000,0.72999000,121388954.12000000,2018-05-07
2018-05-14,0.72999000,0.74990000,0.64600000,0.69940000,81026594.05000000,2018-05-14
2018-05-21,0.69940000,0.70500000,0.57310000,0.60416000,119363181.72000000,2018-05-21
2018-05-28,0.60417000,0.69101000,0.54303000,0.69010000,234446288.89000000,2018-05-28
2018-06-04,0.69010000,0.70700000,0.55000000,0.58201000,271258795.74000000,2018-06-04
2018-06-11,0.58202000,0.60000000,0.50401000,0.52617000,210360409.31000000,2018-06-11
2018-06-18,0.52669000,0.56185000,0.43724000,0.47331000,237851499.47000000,2018-06-18
2018-06-25,0.47418000,0.49920000,0.42393000,0.46222000,221559858.00000000,2018-06-25
2018-07-02,0.46222000,0.52000000,0.45200000,0.47915000,228489152.80000000,2018-07-02
2018-07-09,0.47872000,0.48201000,0.42360000,0.44681000,210551925.80000000,2018-07-09
2018-07-16,0.44695000,0.52525000,0.43100000,0.44859000,276395688.70000000,2018-07-16
2018-07-23,0.44859000,0.47150000,0.43800000,0.45315000,248825450.50000000,2018-07-23
2018-07-30,0.45315000,0.46382000,0.42530000,0.43450000,251962379.80000000,2018-07-30
2018-08-06,0.43437000,0.43699000,0.28740000,0.29547000,329337770.81000000,2018-08-06
2018-08-13,0.29575000,0.37506000,0.24672000,0.34201000,447467944.04000000,2018-08-13
2018-08-20,0.34201000,0.35499000,0.31039000,0.32276000,319657665.20000000,2018-08-20
2018-08-27,0.32277000,0.35809000,0.32145000,0.34253000,340787215.30000000,2018-08-27
2018-09-03,0.34237000,0.34387000,0.26760000,0.27660000,345424289.70000000,2018-09-03
2018-09-10,0.27699000,0.28670000,0.25261000,0.28122000,315998295.10000000,2018-09-10
2018-09-17,0.28122000,0.80000000,0.26662000,0.57190000,1848231045.44000000,2018-09-17
